#Receptor_resid	Ligand_resid
324	69
324	242
324	259
324	260
324	292
324	294
324	295
324	321
324	323
324	324
324	69
324	242
324	259
324	260
324	292
324	294
324	295
324	321
324	323
324	324
324	69
324	242
324	259
324	260
324	292
324	294
324	295
324	321
324	323
324	324
324	69
324	242
324	259
324	260
324	292
324	294
324	295
324	321
324	323
324	324
324	69
324	242
324	259
324	260
324	292
324	294
324	295
324	321
324	323
324	324
324	69
324	242
324	259
324	260
324	292
324	294
324	295
324	321
324	323
324	324
324	69
324	242
324	259
324	260
324	292
324	294
324	295
324	321
324	323
324	324
324	69
324	242
324	259
324	260
324	292
324	294
324	295
324	321
324	323
324	324
