#Receptor_resid	Ligand_resid
218	39
218	41
218	42
218	57
218	58
218	146
218	151
218	175
218	190
218	191
218	192
218	193
218	194
218	195
218	214
218	215
218	216
218	218
218	39
218	41
218	42
218	57
218	58
218	146
218	151
218	175
218	190
218	191
218	192
218	193
218	194
218	195
218	214
218	215
218	216
218	218
218	39
218	41
218	42
218	57
218	58
218	146
218	151
218	175
218	190
218	191
218	192
218	193
218	194
218	195
218	214
218	215
218	216
218	218
218	39
218	41
218	42
218	57
218	58
218	146
218	151
218	175
218	190
218	191
218	192
218	193
218	194
218	195
218	214
218	215
218	216
218	218
218	39
218	41
218	42
218	57
218	58
218	146
218	151
218	175
218	190
218	191
218	192
218	193
218	194
218	195
218	214
218	215
218	216
218	218
218	39
218	41
218	42
218	57
218	58
218	146
218	151
218	175
218	190
218	191
218	192
218	193
218	194
218	195
218	214
218	215
218	216
218	218
218	39
218	41
218	42
218	57
218	58
218	146
218	151
218	175
218	190
218	191
218	192
218	193
218	194
218	195
218	214
218	215
218	216
218	218
218	39
218	41
218	42
218	57
218	58
218	146
218	151
218	175
218	190
218	191
218	192
218	193
218	194
218	195
218	214
218	215
218	216
218	218
218	39
218	41
218	42
218	57
218	58
218	146
218	151
218	175
218	190
218	191
218	192
218	193
218	194
218	195
218	214
218	215
218	216
218	218
218	39
218	41
218	42
218	57
218	58
218	146
218	151
218	175
218	190
218	191
218	192
218	193
218	194
218	195
218	214
218	215
218	216
218	218
218	39
218	41
218	42
218	57
218	58
218	146
218	151
218	175
218	190
218	191
218	192
218	193
218	194
218	195
218	214
218	215
218	216
218	218
218	39
218	41
218	42
218	57
218	58
218	146
218	151
218	175
218	190
218	191
218	192
218	193
218	194
218	195
218	214
218	215
218	216
218	218
