#Receptor_resid	Ligand_resid
502	30
502	32
502	50
502	91
502	92
502	93
502	94
502	96
502	430
502	431
502	432
502	433
502	452
502	454
502	455
502	457
502	459
502	500
502	501
502	502
502	30
502	32
502	50
502	91
502	92
502	93
502	94
502	96
502	430
502	431
502	432
502	433
502	452
502	454
502	455
502	457
502	459
502	500
502	501
502	502
502	30
502	32
502	50
502	91
502	92
502	93
502	94
502	96
502	430
502	431
502	432
502	433
502	452
502	454
502	455
502	457
502	459
502	500
502	501
502	502
502	30
502	32
502	50
502	91
502	92
502	93
502	94
502	96
502	430
502	431
502	432
502	433
502	452
502	454
502	455
502	457
502	459
502	500
502	501
502	502
502	30
502	32
502	50
502	91
502	92
502	93
502	94
502	96
502	430
502	431
502	432
502	433
502	452
502	454
502	455
502	457
502	459
502	500
502	501
502	502
502	30
502	32
502	50
502	91
502	92
502	93
502	94
502	96
502	430
502	431
502	432
502	433
502	452
502	454
502	455
502	457
502	459
502	500
502	501
502	502
502	30
502	32
502	50
502	91
502	92
502	93
502	94
502	96
502	430
502	431
502	432
502	433
502	452
502	454
502	455
502	457
502	459
502	500
502	501
502	502
502	30
502	32
502	50
502	91
502	92
502	93
502	94
502	96
502	430
502	431
502	432
502	433
502	452
502	454
502	455
502	457
502	459
502	500
502	501
502	502
502	30
502	32
502	50
502	91
502	92
502	93
502	94
502	96
502	430
502	431
502	432
502	433
502	452
502	454
502	455
502	457
502	459
502	500
502	501
502	502
502	30
502	32
502	50
502	91
502	92
502	93
502	94
502	96
502	430
502	431
502	432
502	433
502	452
502	454
502	455
502	457
502	459
502	500
502	501
502	502
502	30
502	32
502	50
502	91
502	92
502	93
502	94
502	96
502	430
502	431
502	432
502	433
502	452
502	454
502	455
502	457
502	459
502	500
502	501
502	502
502	30
502	32
502	50
502	91
502	92
502	93
502	94
502	96
502	430
502	431
502	432
502	433
502	452
502	454
502	455
502	457
502	459
502	500
502	501
502	502
502	30
502	32
502	50
502	91
502	92
502	93
502	94
502	96
502	430
502	431
502	432
502	433
502	452
502	454
502	455
502	457
502	459
502	500
502	501
502	502
502	30
502	32
502	50
502	91
502	92
502	93
502	94
502	96
502	430
502	431
502	432
502	433
502	452
502	454
502	455
502	457
502	459
502	500
502	501
502	502
502	30
502	32
502	50
502	91
502	92
502	93
502	94
502	96
502	430
502	431
502	432
502	433
502	452
502	454
502	455
502	457
502	459
502	500
502	501
502	502
502	30
502	32
502	50
502	91
502	92
502	93
502	94
502	96
502	430
502	431
502	432
502	433
502	452
502	454
502	455
502	457
502	459
502	500
502	501
502	502
502	30
502	32
502	50
502	91
502	92
502	93
502	94
502	96
502	430
502	431
502	432
502	433
502	452
502	454
502	455
502	457
502	459
502	500
502	501
502	502
502	30
502	32
502	50
502	91
502	92
502	93
502	94
502	96
502	430
502	431
502	432
502	433
502	452
502	454
502	455
502	457
502	459
502	500
502	501
502	502
502	30
502	32
502	50
502	91
502	92
502	93
502	94
502	96
502	430
502	431
502	432
502	433
502	452
502	454
502	455
502	457
502	459
502	500
502	501
502	502
