#Receptor_resid	Ligand_resid
126	55
126	60
126	61
126	63
126	71
126	72
126	73
126	101
126	102
126	103
126	111
126	113
126	121
126	122
126	126
126	55
126	60
126	61
126	63
126	71
126	72
126	73
126	101
126	102
126	103
126	111
126	113
126	121
126	122
126	126
126	55
126	60
126	61
126	63
126	71
126	72
126	73
126	101
126	102
126	103
126	111
126	113
126	121
126	122
126	126
126	55
126	60
126	61
126	63
126	71
126	72
126	73
126	101
126	102
126	103
126	111
126	113
126	121
126	122
126	126
126	55
126	60
126	61
126	63
126	71
126	72
126	73
126	101
126	102
126	103
126	111
126	113
126	121
126	122
126	126
126	55
126	60
126	61
126	63
126	71
126	72
126	73
126	101
126	102
126	103
126	111
126	113
126	121
126	122
126	126
126	55
126	60
126	61
126	63
126	71
126	72
126	73
126	101
126	102
126	103
126	111
126	113
126	121
126	122
126	126
126	55
126	60
126	61
126	63
126	71
126	72
126	73
126	101
126	102
126	103
126	111
126	113
126	121
126	122
126	126
126	55
126	60
126	61
126	63
126	71
126	72
126	73
126	101
126	102
126	103
126	111
126	113
126	121
126	122
126	126
