#Receptor_resid	Ligand_resid
560	115
560	122
560	128
560	198
560	214
560	225
560	226
560	227
560	228
560	229
560	230
560	231
560	232
560	243
560	248
560	262
560	558
560	560
560	115
560	122
560	128
560	198
560	214
560	225
560	226
560	227
560	228
560	229
560	230
560	231
560	232
560	243
560	248
560	262
560	558
560	560
560	115
560	122
560	128
560	198
560	214
560	225
560	226
560	227
560	228
560	229
560	230
560	231
560	232
560	243
560	248
560	262
560	558
560	560
560	115
560	122
560	128
560	198
560	214
560	225
560	226
560	227
560	228
560	229
560	230
560	231
560	232
560	243
560	248
560	262
560	558
560	560
560	115
560	122
560	128
560	198
560	214
560	225
560	226
560	227
560	228
560	229
560	230
560	231
560	232
560	243
560	248
560	262
560	558
560	560
560	115
560	122
560	128
560	198
560	214
560	225
560	226
560	227
560	228
560	229
560	230
560	231
560	232
560	243
560	248
560	262
560	558
560	560
560	115
560	122
560	128
560	198
560	214
560	225
560	226
560	227
560	228
560	229
560	230
560	231
560	232
560	243
560	248
560	262
560	558
560	560
560	115
560	122
560	128
560	198
560	214
560	225
560	226
560	227
560	228
560	229
560	230
560	231
560	232
560	243
560	248
560	262
560	558
560	560
560	115
560	122
560	128
560	198
560	214
560	225
560	226
560	227
560	228
560	229
560	230
560	231
560	232
560	243
560	248
560	262
560	558
560	560
560	115
560	122
560	128
560	198
560	214
560	225
560	226
560	227
560	228
560	229
560	230
560	231
560	232
560	243
560	248
560	262
560	558
560	560
560	115
560	122
560	128
560	198
560	214
560	225
560	226
560	227
560	228
560	229
560	230
560	231
560	232
560	243
560	248
560	262
560	558
560	560
560	115
560	122
560	128
560	198
560	214
560	225
560	226
560	227
560	228
560	229
560	230
560	231
560	232
560	243
560	248
560	262
560	558
560	560
560	115
560	122
560	128
560	198
560	214
560	225
560	226
560	227
560	228
560	229
560	230
560	231
560	232
560	243
560	248
560	262
560	558
560	560
560	115
560	122
560	128
560	198
560	214
560	225
560	226
560	227
560	228
560	229
560	230
560	231
560	232
560	243
560	248
560	262
560	558
560	560
560	115
560	122
560	128
560	198
560	214
560	225
560	226
560	227
560	228
560	229
560	230
560	231
560	232
560	243
560	248
560	262
560	558
560	560
560	115
560	122
560	128
560	198
560	214
560	225
560	226
560	227
560	228
560	229
560	230
560	231
560	232
560	243
560	248
560	262
560	558
560	560
560	115
560	122
560	128
560	198
560	214
560	225
560	226
560	227
560	228
560	229
560	230
560	231
560	232
560	243
560	248
560	262
560	558
560	560
560	115
560	122
560	128
560	198
560	214
560	225
560	226
560	227
560	228
560	229
560	230
560	231
560	232
560	243
560	248
560	262
560	558
560	560
560	115
560	122
560	128
560	198
560	214
560	225
560	226
560	227
560	228
560	229
560	230
560	231
560	232
560	243
560	248
560	262
560	558
560	560
560	115
560	122
560	128
560	198
560	214
560	225
560	226
560	227
560	228
560	229
560	230
560	231
560	232
560	243
560	248
560	262
560	558
560	560
