#Receptor_resid	Ligand_resid
207	39
207	40
207	41
207	42
207	43
207	44
207	45
207	46
207	59
207	60
207	61
207	62
207	63
207	64
207	202
207	203
207	207
207	39
207	40
207	41
207	42
207	43
207	44
207	45
207	46
207	59
207	60
207	61
207	62
207	63
207	64
207	202
207	203
207	207
207	39
207	40
207	41
207	42
207	43
207	44
207	45
207	46
207	59
207	60
207	61
207	62
207	63
207	64
207	202
207	203
207	207
207	39
207	40
207	41
207	42
207	43
207	44
207	45
207	46
207	59
207	60
207	61
207	62
207	63
207	64
207	202
207	203
207	207
207	39
207	40
207	41
207	42
207	43
207	44
207	45
207	46
207	59
207	60
207	61
207	62
207	63
207	64
207	202
207	203
207	207
207	39
207	40
207	41
207	42
207	43
207	44
207	45
207	46
207	59
207	60
207	61
207	62
207	63
207	64
207	202
207	203
207	207
207	39
207	40
207	41
207	42
207	43
207	44
207	45
207	46
207	59
207	60
207	61
207	62
207	63
207	64
207	202
207	203
207	207
207	39
207	40
207	41
207	42
207	43
207	44
207	45
207	46
207	59
207	60
207	61
207	62
207	63
207	64
207	202
207	203
207	207
207	39
207	40
207	41
207	42
207	43
207	44
207	45
207	46
207	59
207	60
207	61
207	62
207	63
207	64
207	202
207	203
207	207
207	39
207	40
207	41
207	42
207	43
207	44
207	45
207	46
207	59
207	60
207	61
207	62
207	63
207	64
207	202
207	203
207	207
207	39
207	40
207	41
207	42
207	43
207	44
207	45
207	46
207	59
207	60
207	61
207	62
207	63
207	64
207	202
207	203
207	207
207	39
207	40
207	41
207	42
207	43
207	44
207	45
207	46
207	59
207	60
207	61
207	62
207	63
207	64
207	202
207	203
207	207
207	39
207	40
207	41
207	42
207	43
207	44
207	45
207	46
207	59
207	60
207	61
207	62
207	63
207	64
207	202
207	203
207	207
207	39
207	40
207	41
207	42
207	43
207	44
207	45
207	46
207	59
207	60
207	61
207	62
207	63
207	64
207	202
207	203
207	207
207	39
207	40
207	41
207	42
207	43
207	44
207	45
207	46
207	59
207	60
207	61
207	62
207	63
207	64
207	202
207	203
207	207
207	39
207	40
207	41
207	42
207	43
207	44
207	45
207	46
207	59
207	60
207	61
207	62
207	63
207	64
207	202
207	203
207	207
207	39
207	40
207	41
207	42
207	43
207	44
207	45
207	46
207	59
207	60
207	61
207	62
207	63
207	64
207	202
207	203
207	207
