#Receptor_resid	Ligand_resid
193	23
193	24
193	25
193	40
193	43
193	81
193	84
193	131
193	171
193	172
193	173
193	174
193	175
193	190
193	191
193	192
193	193
193	23
193	24
193	25
193	40
193	43
193	81
193	84
193	131
193	171
193	172
193	173
193	174
193	175
193	190
193	191
193	192
193	193
193	23
193	24
193	25
193	40
193	43
193	81
193	84
193	131
193	171
193	172
193	173
193	174
193	175
193	190
193	191
193	192
193	193
193	23
193	24
193	25
193	40
193	43
193	81
193	84
193	131
193	171
193	172
193	173
193	174
193	175
193	190
193	191
193	192
193	193
193	23
193	24
193	25
193	40
193	43
193	81
193	84
193	131
193	171
193	172
193	173
193	174
193	175
193	190
193	191
193	192
193	193
193	23
193	24
193	25
193	40
193	43
193	81
193	84
193	131
193	171
193	172
193	173
193	174
193	175
193	190
193	191
193	192
193	193
193	23
193	24
193	25
193	40
193	43
193	81
193	84
193	131
193	171
193	172
193	173
193	174
193	175
193	190
193	191
193	192
193	193
193	23
193	24
193	25
193	40
193	43
193	81
193	84
193	131
193	171
193	172
193	173
193	174
193	175
193	190
193	191
193	192
193	193
193	23
193	24
193	25
193	40
193	43
193	81
193	84
193	131
193	171
193	172
193	173
193	174
193	175
193	190
193	191
193	192
193	193
193	23
193	24
193	25
193	40
193	43
193	81
193	84
193	131
193	171
193	172
193	173
193	174
193	175
193	190
193	191
193	192
193	193
193	23
193	24
193	25
193	40
193	43
193	81
193	84
193	131
193	171
193	172
193	173
193	174
193	175
193	190
193	191
193	192
193	193
