#Receptor_resid	Ligand_resid
87	32
87	37
87	39
87	40
87	41
87	64
87	65
87	66
87	67
87	69
87	85
87	86
87	87
87	32
87	37
87	39
87	40
87	41
87	64
87	65
87	66
87	67
87	69
87	85
87	86
87	87
87	32
87	37
87	39
87	40
87	41
87	64
87	65
87	66
87	67
87	69
87	85
87	86
87	87
87	32
87	37
87	39
87	40
87	41
87	64
87	65
87	66
87	67
87	69
87	85
87	86
87	87
87	32
87	37
87	39
87	40
87	41
87	64
87	65
87	66
87	67
87	69
87	85
87	86
87	87
87	32
87	37
87	39
87	40
87	41
87	64
87	65
87	66
87	67
87	69
87	85
87	86
87	87
87	32
87	37
87	39
87	40
87	41
87	64
87	65
87	66
87	67
87	69
87	85
87	86
87	87
87	32
87	37
87	39
87	40
87	41
87	64
87	65
87	66
87	67
87	69
87	85
87	86
87	87
87	32
87	37
87	39
87	40
87	41
87	64
87	65
87	66
87	67
87	69
87	85
87	86
87	87
87	32
87	37
87	39
87	40
87	41
87	64
87	65
87	66
87	67
87	69
87	85
87	86
87	87
87	32
87	37
87	39
87	40
87	41
87	64
87	65
87	66
87	67
87	69
87	85
87	86
87	87
87	32
87	37
87	39
87	40
87	41
87	64
87	65
87	66
87	67
87	69
87	85
87	86
87	87
