#Receptor_resid	Ligand_resid
1492	1398
1492	1404
1492	1405
1492	1406
1492	1410
1492	1411
1492	1413
1492	1417
1492	1421
1492	1486
1492	1489
1492	1490
1492	1491
1492	1492
1492	1398
1492	1404
1492	1405
1492	1406
1492	1410
1492	1411
1492	1413
1492	1417
1492	1421
1492	1486
1492	1489
1492	1490
1492	1491
1492	1492
1492	1398
1492	1404
1492	1405
1492	1406
1492	1410
1492	1411
1492	1413
1492	1417
1492	1421
1492	1486
1492	1489
1492	1490
1492	1491
1492	1492
1492	1398
1492	1404
1492	1405
1492	1406
1492	1410
1492	1411
1492	1413
1492	1417
1492	1421
1492	1486
1492	1489
1492	1490
1492	1491
1492	1492
1492	1398
1492	1404
1492	1405
1492	1406
1492	1410
1492	1411
1492	1413
1492	1417
1492	1421
1492	1486
1492	1489
1492	1490
1492	1491
1492	1492
1492	1398
1492	1404
1492	1405
1492	1406
1492	1410
1492	1411
1492	1413
1492	1417
1492	1421
1492	1486
1492	1489
1492	1490
1492	1491
1492	1492
1492	1398
1492	1404
1492	1405
1492	1406
1492	1410
1492	1411
1492	1413
1492	1417
1492	1421
1492	1486
1492	1489
1492	1490
1492	1491
1492	1492
1492	1398
1492	1404
1492	1405
1492	1406
1492	1410
1492	1411
1492	1413
1492	1417
1492	1421
1492	1486
1492	1489
1492	1490
1492	1491
1492	1492
1492	1398
1492	1404
1492	1405
1492	1406
1492	1410
1492	1411
1492	1413
1492	1417
1492	1421
1492	1486
1492	1489
1492	1490
1492	1491
1492	1492
1492	1398
1492	1404
1492	1405
1492	1406
1492	1410
1492	1411
1492	1413
1492	1417
1492	1421
1492	1486
1492	1489
1492	1490
1492	1491
1492	1492
1492	1398
1492	1404
1492	1405
1492	1406
1492	1410
1492	1411
1492	1413
1492	1417
1492	1421
1492	1486
1492	1489
1492	1490
1492	1491
1492	1492
1492	1398
1492	1404
1492	1405
1492	1406
1492	1410
1492	1411
1492	1413
1492	1417
1492	1421
1492	1486
1492	1489
1492	1490
1492	1491
1492	1492
1492	1398
1492	1404
1492	1405
1492	1406
1492	1410
1492	1411
1492	1413
1492	1417
1492	1421
1492	1486
1492	1489
1492	1490
1492	1491
1492	1492
