#Receptor_resid	Ligand_resid
91	26
91	36
91	37
91	42
91	46
91	53
91	54
91	55
91	56
91	59
91	82
91	85
91	87
91	88
91	89
91	90
91	91
91	26
91	36
91	37
91	42
91	46
91	53
91	54
91	55
91	56
91	59
91	82
91	85
91	87
91	88
91	89
91	90
91	91
91	26
91	36
91	37
91	42
91	46
91	53
91	54
91	55
91	56
91	59
91	82
91	85
91	87
91	88
91	89
91	90
91	91
91	26
91	36
91	37
91	42
91	46
91	53
91	54
91	55
91	56
91	59
91	82
91	85
91	87
91	88
91	89
91	90
91	91
91	26
91	36
91	37
91	42
91	46
91	53
91	54
91	55
91	56
91	59
91	82
91	85
91	87
91	88
91	89
91	90
91	91
91	26
91	36
91	37
91	42
91	46
91	53
91	54
91	55
91	56
91	59
91	82
91	85
91	87
91	88
91	89
91	90
91	91
91	26
91	36
91	37
91	42
91	46
91	53
91	54
91	55
91	56
91	59
91	82
91	85
91	87
91	88
91	89
91	90
91	91
91	26
91	36
91	37
91	42
91	46
91	53
91	54
91	55
91	56
91	59
91	82
91	85
91	87
91	88
91	89
91	90
91	91
91	26
91	36
91	37
91	42
91	46
91	53
91	54
91	55
91	56
91	59
91	82
91	85
91	87
91	88
91	89
91	90
91	91
91	26
91	36
91	37
91	42
91	46
91	53
91	54
91	55
91	56
91	59
91	82
91	85
91	87
91	88
91	89
91	90
91	91
91	26
91	36
91	37
91	42
91	46
91	53
91	54
91	55
91	56
91	59
91	82
91	85
91	87
91	88
91	89
91	90
91	91
91	26
91	36
91	37
91	42
91	46
91	53
91	54
91	55
91	56
91	59
91	82
91	85
91	87
91	88
91	89
91	90
91	91
91	26
91	36
91	37
91	42
91	46
91	53
91	54
91	55
91	56
91	59
91	82
91	85
91	87
91	88
91	89
91	90
91	91
91	26
91	36
91	37
91	42
91	46
91	53
91	54
91	55
91	56
91	59
91	82
91	85
91	87
91	88
91	89
91	90
91	91
91	26
91	36
91	37
91	42
91	46
91	53
91	54
91	55
91	56
91	59
91	82
91	85
91	87
91	88
91	89
91	90
91	91
91	26
91	36
91	37
91	42
91	46
91	53
91	54
91	55
91	56
91	59
91	82
91	85
91	87
91	88
91	89
91	90
91	91
91	26
91	36
91	37
91	42
91	46
91	53
91	54
91	55
91	56
91	59
91	82
91	85
91	87
91	88
91	89
91	90
91	91
