#Receptor_resid	Ligand_resid
315	31
315	32
315	33
315	34
315	40
315	42
315	44
315	45
315	48
315	49
315	52
315	53
315	55
315	56
315	57
315	58
315	59
315	60
315	78
315	81
315	90
315	91
315	92
315	231
315	232
315	254
315	261
315	262
315	263
315	264
315	265
315	266
315	269
315	271
315	272
315	275
315	281
315	307
315	308
315	309
315	310
315	311
315	313
315	314
315	315
315	31
315	32
315	33
315	34
315	40
315	42
315	44
315	45
315	48
315	49
315	52
315	53
315	55
315	56
315	57
315	58
315	59
315	60
315	78
315	81
315	90
315	91
315	92
315	231
315	232
315	254
315	261
315	262
315	263
315	264
315	265
315	266
315	269
315	271
315	272
315	275
315	281
315	307
315	308
315	309
315	310
315	311
315	313
315	314
315	315
315	31
315	32
315	33
315	34
315	40
315	42
315	44
315	45
315	48
315	49
315	52
315	53
315	55
315	56
315	57
315	58
315	59
315	60
315	78
315	81
315	90
315	91
315	92
315	231
315	232
315	254
315	261
315	262
315	263
315	264
315	265
315	266
315	269
315	271
315	272
315	275
315	281
315	307
315	308
315	309
315	310
315	311
315	313
315	314
315	315
315	31
315	32
315	33
315	34
315	40
315	42
315	44
315	45
315	48
315	49
315	52
315	53
315	55
315	56
315	57
315	58
315	59
315	60
315	78
315	81
315	90
315	91
315	92
315	231
315	232
315	254
315	261
315	262
315	263
315	264
315	265
315	266
315	269
315	271
315	272
315	275
315	281
315	307
315	308
315	309
315	310
315	311
315	313
315	314
315	315
315	31
315	32
315	33
315	34
315	40
315	42
315	44
315	45
315	48
315	49
315	52
315	53
315	55
315	56
315	57
315	58
315	59
315	60
315	78
315	81
315	90
315	91
315	92
315	231
315	232
315	254
315	261
315	262
315	263
315	264
315	265
315	266
315	269
315	271
315	272
315	275
315	281
315	307
315	308
315	309
315	310
315	311
315	313
315	314
315	315
315	31
315	32
315	33
315	34
315	40
315	42
315	44
315	45
315	48
315	49
315	52
315	53
315	55
315	56
315	57
315	58
315	59
315	60
315	78
315	81
315	90
315	91
315	92
315	231
315	232
315	254
315	261
315	262
315	263
315	264
315	265
315	266
315	269
315	271
315	272
315	275
315	281
315	307
315	308
315	309
315	310
315	311
315	313
315	314
315	315
315	31
315	32
315	33
315	34
315	40
315	42
315	44
315	45
315	48
315	49
315	52
315	53
315	55
315	56
315	57
315	58
315	59
315	60
315	78
315	81
315	90
315	91
315	92
315	231
315	232
315	254
315	261
315	262
315	263
315	264
315	265
315	266
315	269
315	271
315	272
315	275
315	281
315	307
315	308
315	309
315	310
315	311
315	313
315	314
315	315
315	31
315	32
315	33
315	34
315	40
315	42
315	44
315	45
315	48
315	49
315	52
315	53
315	55
315	56
315	57
315	58
315	59
315	60
315	78
315	81
315	90
315	91
315	92
315	231
315	232
315	254
315	261
315	262
315	263
315	264
315	265
315	266
315	269
315	271
315	272
315	275
315	281
315	307
315	308
315	309
315	310
315	311
315	313
315	314
315	315
315	31
315	32
315	33
315	34
315	40
315	42
315	44
315	45
315	48
315	49
315	52
315	53
315	55
315	56
315	57
315	58
315	59
315	60
315	78
315	81
315	90
315	91
315	92
315	231
315	232
315	254
315	261
315	262
315	263
315	264
315	265
315	266
315	269
315	271
315	272
315	275
315	281
315	307
315	308
315	309
315	310
315	311
315	313
315	314
315	315
315	31
315	32
315	33
315	34
315	40
315	42
315	44
315	45
315	48
315	49
315	52
315	53
315	55
315	56
315	57
315	58
315	59
315	60
315	78
315	81
315	90
315	91
315	92
315	231
315	232
315	254
315	261
315	262
315	263
315	264
315	265
315	266
315	269
315	271
315	272
315	275
315	281
315	307
315	308
315	309
315	310
315	311
315	313
315	314
315	315
315	31
315	32
315	33
315	34
315	40
315	42
315	44
315	45
315	48
315	49
315	52
315	53
315	55
315	56
315	57
315	58
315	59
315	60
315	78
315	81
315	90
315	91
315	92
315	231
315	232
315	254
315	261
315	262
315	263
315	264
315	265
315	266
