#Receptor_resid	Ligand_resid
608	94
608	96
608	530
608	531
608	532
608	533
608	550
608	552
608	553
608	554
608	559
608	599
608	600
608	601
608	602
608	603
608	604
608	606
608	608
608	94
608	96
608	530
608	531
608	532
608	533
608	550
608	552
608	553
608	554
608	559
608	599
608	600
608	601
608	602
608	603
608	604
608	606
608	608
608	94
608	96
608	530
608	531
608	532
608	533
608	550
608	552
608	553
608	554
608	559
608	599
608	600
608	601
608	602
608	603
608	604
608	606
608	608
608	94
608	96
608	530
608	531
608	532
608	533
608	550
608	552
608	553
608	554
608	559
608	599
608	600
608	601
608	602
608	603
608	604
608	606
608	608
608	94
608	96
608	530
608	531
608	532
608	533
608	550
608	552
608	553
608	554
608	559
608	599
608	600
608	601
608	602
608	603
608	604
608	606
608	608
608	94
608	96
608	530
608	531
608	532
608	533
608	550
608	552
608	553
608	554
608	559
608	599
608	600
608	601
608	602
608	603
608	604
608	606
608	608
608	94
608	96
608	530
608	531
608	532
608	533
608	550
608	552
608	553
608	554
608	559
608	599
608	600
608	601
608	602
608	603
608	604
608	606
608	608
608	94
608	96
608	530
608	531
608	532
608	533
608	550
608	552
608	553
608	554
608	559
608	599
608	600
608	601
608	602
608	603
608	604
608	606
608	608
608	94
608	96
608	530
608	531
608	532
608	533
608	550
608	552
608	553
608	554
608	559
608	599
608	600
608	601
608	602
608	603
608	604
608	606
608	608
608	94
608	96
608	530
608	531
608	532
608	533
608	550
608	552
608	553
608	554
608	559
608	599
608	600
608	601
608	602
608	603
608	604
608	606
608	608
608	94
608	96
608	530
608	531
608	532
608	533
608	550
608	552
608	553
608	554
608	559
608	599
608	600
608	601
608	602
608	603
608	604
608	606
608	608
608	94
608	96
608	530
608	531
608	532
608	533
608	550
608	552
608	553
608	554
608	559
608	599
608	600
608	601
608	602
608	603
608	604
608	606
608	608
608	94
608	96
608	530
608	531
608	532
608	533
608	550
608	552
608	553
608	554
608	559
608	599
608	600
608	601
608	602
608	603
608	604
608	606
608	608
608	94
608	96
608	530
608	531
608	532
608	533
608	550
608	552
608	553
608	554
608	559
608	599
608	600
608	601
608	602
608	603
608	604
608	606
608	608
608	94
608	96
608	530
608	531
608	532
608	533
608	550
608	552
608	553
608	554
608	559
608	599
608	600
608	601
608	602
608	603
608	604
608	606
608	608
608	94
608	96
608	530
608	531
608	532
608	533
608	550
608	552
608	553
608	554
608	559
608	599
608	600
608	601
608	602
608	603
608	604
608	606
608	608
608	94
608	96
608	530
608	531
608	532
608	533
608	550
608	552
608	553
608	554
608	559
608	599
608	600
608	601
608	602
608	603
608	604
608	606
608	608
608	94
608	96
608	530
608	531
608	532
608	533
608	550
608	552
608	553
608	554
608	559
608	599
608	600
608	601
608	602
608	603
608	604
608	606
608	608
