#Receptor_resid	Ligand_resid
243	206
243	207
243	208
243	209
243	210
243	213
243	235
243	237
243	239
243	240
243	241
243	242
243	243
243	206
243	207
243	208
243	209
243	210
243	213
243	235
243	237
243	239
243	240
243	241
243	242
243	243
243	206
243	207
243	208
243	209
243	210
243	213
243	235
243	237
243	239
243	240
243	241
243	242
243	243
243	206
243	207
243	208
243	209
243	210
243	213
243	235
243	237
243	239
243	240
243	241
243	242
243	243
243	206
243	207
243	208
243	209
243	210
243	213
243	235
243	237
243	239
243	240
243	241
243	242
243	243
243	206
243	207
243	208
243	209
243	210
243	213
243	235
243	237
243	239
243	240
243	241
243	242
243	243
243	206
243	207
243	208
243	209
243	210
243	213
243	235
243	237
243	239
243	240
243	241
243	242
243	243
243	206
243	207
243	208
243	209
243	210
243	213
243	235
243	237
243	239
243	240
243	241
243	242
243	243
243	206
243	207
243	208
243	209
243	210
243	213
243	235
243	237
243	239
243	240
243	241
243	242
243	243
243	206
243	207
243	208
243	209
243	210
243	213
243	235
243	237
243	239
243	240
243	241
243	242
243	243
243	206
243	207
243	208
243	209
243	210
243	213
243	235
243	237
243	239
243	240
243	241
243	242
243	243
243	206
243	207
243	208
243	209
243	210
243	213
243	235
243	237
243	239
243	240
243	241
243	242
243	243
243	206
243	207
243	208
243	209
243	210
243	213
243	235
243	237
243	239
243	240
243	241
243	242
243	243
243	206
243	207
243	208
243	209
243	210
243	213
243	235
243	237
243	239
243	240
243	241
243	242
243	243
243	206
243	207
243	208
243	209
243	210
243	213
243	235
243	237
243	239
243	240
243	241
243	242
243	243
243	206
243	207
243	208
243	209
243	210
243	213
243	235
243	237
243	239
243	240
243	241
243	242
243	243
