#Receptor_resid	Ligand_resid
357	58
357	59
357	62
357	149
357	150
357	151
357	152
357	162
357	163
357	200
357	201
357	233
357	235
357	237
357	238
357	239
357	240
357	300
357	305
357	307
357	309
357	310
357	352
357	356
357	357
357	58
357	59
357	62
357	149
357	150
357	151
357	152
357	162
357	163
357	200
357	201
357	233
357	235
357	237
357	238
357	239
357	240
357	300
357	305
357	307
357	309
357	310
357	352
357	356
357	357
357	58
357	59
357	62
357	149
357	150
357	151
357	152
357	162
357	163
357	200
357	201
357	233
357	235
357	237
357	238
357	239
357	240
357	300
357	305
357	307
357	309
357	310
357	352
357	356
357	357
357	58
357	59
357	62
357	149
357	150
357	151
357	152
357	162
357	163
357	200
357	201
357	233
357	235
357	237
357	238
357	239
357	240
357	300
357	305
357	307
357	309
357	310
357	352
357	356
357	357
357	58
357	59
357	62
357	149
357	150
357	151
357	152
357	162
357	163
357	200
357	201
357	233
357	235
357	237
357	238
357	239
357	240
357	300
357	305
357	307
357	309
357	310
357	352
357	356
357	357
357	58
357	59
357	62
357	149
357	150
357	151
357	152
357	162
357	163
357	200
357	201
357	233
357	235
357	237
357	238
357	239
357	240
357	300
357	305
357	307
357	309
357	310
357	352
357	356
357	357
357	58
357	59
357	62
357	149
357	150
357	151
357	152
357	162
357	163
357	200
357	201
357	233
357	235
357	237
357	238
357	239
357	240
357	300
357	305
357	307
357	309
357	310
357	352
357	356
357	357
357	58
357	59
357	62
357	149
357	150
357	151
357	152
357	162
357	163
357	200
357	201
357	233
357	235
357	237
357	238
357	239
357	240
357	300
357	305
357	307
357	309
357	310
357	352
357	356
357	357
357	58
357	59
357	62
357	149
357	150
357	151
357	152
357	162
357	163
357	200
357	201
357	233
357	235
357	237
357	238
357	239
357	240
357	300
357	305
357	307
357	309
357	310
357	352
357	356
357	357
357	58
357	59
357	62
357	149
357	150
357	151
357	152
357	162
357	163
357	200
357	201
357	233
357	235
357	237
357	238
357	239
357	240
357	300
357	305
357	307
357	309
357	310
357	352
357	356
357	357
357	58
357	59
357	62
357	149
357	150
357	151
357	152
357	162
357	163
357	200
357	201
357	233
357	235
357	237
357	238
357	239
357	240
357	300
357	305
357	307
357	309
357	310
357	352
357	356
357	357
357	58
357	59
357	62
357	149
357	150
357	151
357	152
357	162
357	163
357	200
357	201
357	233
357	235
357	237
357	238
357	239
357	240
357	300
357	305
357	307
357	309
357	310
357	352
357	356
357	357
357	58
357	59
357	62
357	149
357	150
357	151
357	152
357	162
357	163
357	200
357	201
357	233
357	235
357	237
357	238
357	239
357	240
357	300
357	305
357	307
357	309
357	310
357	352
357	356
357	357
357	58
357	59
357	62
357	149
357	150
357	151
357	152
357	162
357	163
357	200
357	201
357	233
357	235
357	237
357	238
357	239
357	240
357	300
357	305
357	307
357	309
357	310
357	352
357	356
357	357
357	58
357	59
357	62
357	149
357	150
357	151
357	152
357	162
357	163
357	200
357	201
357	233
357	235
357	237
357	238
357	239
357	240
357	300
357	305
357	307
357	309
357	310
357	352
357	356
357	357
357	58
357	59
357	62
357	149
357	150
357	151
357	152
357	162
357	163
357	200
357	201
357	233
357	235
357	237
357	238
357	239
357	240
357	300
357	305
357	307
357	309
357	310
357	352
357	356
357	357
357	58
357	59
357	62
357	149
357	150
357	151
357	152
357	162
357	163
357	200
357	201
357	233
357	235
357	237
357	238
357	239
357	240
357	300
357	305
357	307
357	309
357	310
357	352
357	356
357	357
357	58
357	59
357	62
357	149
357	150
357	151
357	152
357	162
357	163
357	200
357	201
357	233
357	235
357	237
357	238
357	239
357	240
357	300
357	305
357	307
357	309
357	310
357	352
357	356
357	357
357	58
357	59
357	62
357	149
357	150
357	151
357	152
357	162
357	163
357	200
357	201
357	233
357	235
357	237
357	238
357	239
357	240
357	300
357	305
357	307
357	309
357	310
357	352
357	356
357	357
