#Receptor_resid	Ligand_resid
220	39
220	41
220	57
220	58
220	59
220	96
220	97
220	99
220	143
220	146
220	149
220	150
220	151
220	175
220	190
220	191
220	192
220	193
220	194
220	195
220	213
220	214
220	215
220	216
220	217
220	218
220	220
220	39
220	41
220	57
220	58
220	59
220	96
220	97
220	99
220	143
220	146
220	149
220	150
220	151
220	175
220	190
220	191
220	192
220	193
220	194
220	195
220	213
220	214
220	215
220	216
220	217
220	218
220	220
220	39
220	41
220	57
220	58
220	59
220	96
220	97
220	99
220	143
220	146
220	149
220	150
220	151
220	175
220	190
220	191
220	192
220	193
220	194
220	195
220	213
220	214
220	215
220	216
220	217
220	218
220	220
220	39
220	41
220	57
220	58
220	59
220	96
220	97
220	99
220	143
220	146
220	149
220	150
220	151
220	175
220	190
220	191
220	192
220	193
220	194
220	195
220	213
220	214
220	215
220	216
220	217
220	218
220	220
220	39
220	41
220	57
220	58
220	59
220	96
220	97
220	99
220	143
220	146
220	149
220	150
220	151
220	175
220	190
220	191
220	192
220	193
220	194
220	195
220	213
220	214
220	215
220	216
220	217
220	218
220	220
220	39
220	41
220	57
220	58
220	59
220	96
220	97
220	99
220	143
220	146
220	149
220	150
220	151
220	175
220	190
220	191
220	192
220	193
220	194
220	195
220	213
220	214
220	215
220	216
220	217
220	218
220	220
220	39
220	41
220	57
220	58
220	59
220	96
220	97
220	99
220	143
220	146
220	149
220	150
220	151
220	175
220	190
220	191
220	192
220	193
220	194
220	195
220	213
220	214
220	215
220	216
220	217
220	218
220	220
220	39
220	41
220	57
220	58
220	59
220	96
220	97
220	99
220	143
220	146
220	149
220	150
220	151
220	175
220	190
220	191
220	192
220	193
220	194
220	195
220	213
220	214
220	215
220	216
220	217
220	218
220	220
220	39
220	41
220	57
220	58
220	59
220	96
220	97
220	99
220	143
220	146
220	149
220	150
220	151
220	175
220	190
220	191
220	192
220	193
220	194
220	195
220	213
220	214
220	215
220	216
220	217
220	218
220	220
220	39
220	41
220	57
220	58
220	59
220	96
220	97
220	99
220	143
220	146
220	149
220	150
220	151
220	175
220	190
220	191
220	192
220	193
220	194
220	195
220	213
220	214
220	215
220	216
220	217
220	218
220	220
220	39
220	41
220	57
220	58
220	59
220	96
220	97
220	99
220	143
220	146
220	149
220	150
220	151
220	175
220	190
220	191
220	192
220	193
220	194
220	195
220	213
220	214
220	215
220	216
220	217
220	218
220	220
220	39
220	41
220	57
220	58
220	59
220	96
220	97
220	99
220	143
220	146
220	149
220	150
220	151
220	175
220	190
220	191
220	192
220	193
220	194
220	195
220	213
220	214
220	215
220	216
220	217
220	218
220	220
220	39
220	41
220	57
220	58
220	59
220	96
220	97
220	99
220	143
220	146
220	149
220	150
220	151
220	175
220	190
220	191
220	192
220	193
220	194
220	195
220	213
220	214
220	215
220	216
220	217
220	218
220	220
220	39
220	41
220	57
220	58
220	59
220	96
220	97
220	99
220	143
220	146
220	149
220	150
220	151
220	175
220	190
220	191
220	192
220	193
220	194
220	195
220	213
220	214
220	215
220	216
220	217
220	218
220	220
220	39
220	41
220	57
220	58
220	59
220	96
220	97
220	99
220	143
220	146
220	149
220	150
220	151
220	175
220	190
220	191
220	192
220	193
220	194
220	195
220	213
220	214
220	215
220	216
220	217
220	218
220	220
220	39
220	41
220	57
220	58
220	59
220	96
220	97
220	99
220	143
220	146
220	149
220	150
220	151
220	175
220	190
220	191
220	192
220	193
220	194
220	195
220	213
220	214
220	215
220	216
220	217
220	218
220	220
220	39
220	41
220	57
220	58
220	59
220	96
220	97
220	99
220	143
220	146
220	149
220	150
220	151
220	175
220	190
220	191
220	192
220	193
220	194
220	195
220	213
220	214
220	215
220	216
220	217
220	218
220	220
