#Receptor_resid	Ligand_resid
332	56
332	57
332	60
332	102
332	135
332	136
332	137
332	139
332	150
332	151
332	188
332	224
332	226
332	229
332	245
332	287
332	290
332	291
332	292
332	293
332	295
332	296
332	331
332	332
332	56
332	57
332	60
332	102
332	135
332	136
332	137
332	139
332	150
332	151
332	188
332	224
332	226
332	229
332	245
332	287
332	290
332	291
332	292
332	293
332	295
332	296
332	331
332	332
332	56
332	57
332	60
332	102
332	135
332	136
332	137
332	139
332	150
332	151
332	188
332	224
332	226
332	229
332	245
332	287
332	290
332	291
332	292
332	293
332	295
332	296
332	331
332	332
332	56
332	57
332	60
332	102
332	135
332	136
332	137
332	139
332	150
332	151
332	188
332	224
332	226
332	229
332	245
332	287
332	290
332	291
332	292
332	293
332	295
332	296
332	331
332	332
332	56
332	57
332	60
332	102
332	135
332	136
332	137
332	139
332	150
332	151
332	188
332	224
332	226
332	229
332	245
332	287
332	290
332	291
332	292
332	293
332	295
332	296
332	331
332	332
332	56
332	57
332	60
332	102
332	135
332	136
332	137
332	139
332	150
332	151
332	188
332	224
332	226
332	229
332	245
332	287
332	290
332	291
332	292
332	293
332	295
332	296
332	331
332	332
332	56
332	57
332	60
332	102
332	135
332	136
332	137
332	139
332	150
332	151
332	188
332	224
332	226
332	229
332	245
332	287
332	290
332	291
332	292
332	293
332	295
332	296
332	331
332	332
332	56
332	57
332	60
332	102
332	135
332	136
332	137
332	139
332	150
332	151
332	188
332	224
332	226
332	229
332	245
332	287
332	290
332	291
332	292
332	293
332	295
332	296
332	331
332	332
332	56
332	57
332	60
332	102
332	135
332	136
332	137
332	139
332	150
332	151
332	188
332	224
332	226
332	229
332	245
332	287
332	290
332	291
332	292
332	293
332	295
332	296
332	331
332	332
332	56
332	57
332	60
332	102
332	135
332	136
332	137
332	139
332	150
332	151
332	188
332	224
332	226
332	229
332	245
332	287
332	290
332	291
332	292
332	293
332	295
332	296
332	331
332	332
332	56
332	57
332	60
332	102
332	135
332	136
332	137
332	139
332	150
332	151
332	188
332	224
332	226
332	229
332	245
332	287
332	290
332	291
332	292
332	293
332	295
332	296
332	331
332	332
332	56
332	57
332	60
332	102
332	135
332	136
332	137
332	139
332	150
332	151
332	188
332	224
332	226
332	229
332	245
332	287
332	290
332	291
332	292
332	293
332	295
332	296
332	331
332	332
332	56
332	57
332	60
332	102
332	135
332	136
332	137
332	139
332	150
332	151
332	188
332	224
332	226
332	229
332	245
332	287
332	290
332	291
332	292
332	293
332	295
332	296
332	331
332	332
332	56
332	57
332	60
332	102
332	135
332	136
332	137
332	139
332	150
332	151
332	188
332	224
332	226
332	229
332	245
332	287
332	290
332	291
332	292
332	293
332	295
332	296
332	331
332	332
332	56
332	57
332	60
332	102
332	135
332	136
332	137
332	139
332	150
332	151
332	188
332	224
332	226
332	229
332	245
332	287
332	290
332	291
332	292
332	293
332	295
332	296
332	331
332	332
332	56
332	57
332	60
332	102
332	135
332	136
332	137
332	139
332	150
332	151
332	188
332	224
332	226
332	229
332	245
332	287
332	290
332	291
332	292
332	293
332	295
332	296
332	331
332	332
332	56
332	57
332	60
332	102
332	135
332	136
332	137
332	139
332	150
332	151
332	188
332	224
332	226
332	229
332	245
332	287
332	290
332	291
332	292
332	293
332	295
332	296
332	331
332	332
