#Receptor_resid	Ligand_resid
195	24
195	40
195	78
195	79
195	81
195	131
195	155
195	171
195	172
195	173
195	174
195	175
195	176
195	177
195	192
195	193
195	194
195	195
195	24
195	40
195	78
195	79
195	81
195	131
195	155
195	171
195	172
195	173
195	174
195	175
195	176
195	177
195	192
195	193
195	194
195	195
195	24
195	40
195	78
195	79
195	81
195	131
195	155
195	171
195	172
195	173
195	174
195	175
195	176
195	177
195	192
195	193
195	194
195	195
195	24
195	40
195	78
195	79
195	81
195	131
195	155
195	171
195	172
195	173
195	174
195	175
195	176
195	177
195	192
195	193
195	194
195	195
195	24
195	40
195	78
195	79
195	81
195	131
195	155
195	171
195	172
195	173
195	174
195	175
195	176
195	177
195	192
195	193
195	194
195	195
195	24
195	40
195	78
195	79
195	81
195	131
195	155
195	171
195	172
195	173
195	174
195	175
195	176
195	177
195	192
195	193
195	194
195	195
195	24
195	40
195	78
195	79
195	81
195	131
195	155
195	171
195	172
195	173
195	174
195	175
195	176
195	177
195	192
195	193
195	194
195	195
195	24
195	40
195	78
195	79
195	81
195	131
195	155
195	171
195	172
195	173
195	174
195	175
195	176
195	177
195	192
195	193
195	194
195	195
195	24
195	40
195	78
195	79
195	81
195	131
195	155
195	171
195	172
195	173
195	174
195	175
195	176
195	177
195	192
195	193
195	194
195	195
195	24
195	40
195	78
195	79
195	81
195	131
195	155
195	171
195	172
195	173
195	174
195	175
195	176
195	177
195	192
195	193
195	194
195	195
195	24
195	40
195	78
195	79
195	81
195	131
195	155
195	171
195	172
195	173
195	174
195	175
195	176
195	177
195	192
195	193
195	194
195	195
