#Receptor_resid	Ligand_resid
156	22
156	60
156	64
156	67
156	70
156	71
156	74
156	75
156	78
156	81
156	82
156	85
156	86
156	146
156	147
156	150
156	152
156	153
156	156
156	22
156	60
156	64
156	67
156	70
156	71
156	74
156	75
156	78
156	81
156	82
156	85
156	86
156	146
156	147
156	150
156	152
156	153
156	156
156	22
156	60
156	64
156	67
156	70
156	71
156	74
156	75
156	78
156	81
156	82
156	85
156	86
156	146
156	147
156	150
156	152
156	153
156	156
156	22
156	60
156	64
156	67
156	70
156	71
156	74
156	75
156	78
156	81
156	82
156	85
156	86
156	146
156	147
156	150
156	152
156	153
156	156
156	22
156	60
156	64
156	67
156	70
156	71
156	74
156	75
156	78
156	81
156	82
156	85
156	86
156	146
156	147
156	150
156	152
156	153
156	156
156	22
156	60
156	64
156	67
156	70
156	71
156	74
156	75
156	78
156	81
156	82
156	85
156	86
156	146
156	147
156	150
156	152
156	153
156	156
156	22
156	60
156	64
156	67
156	70
156	71
156	74
156	75
156	78
156	81
156	82
156	85
156	86
156	146
156	147
156	150
156	152
156	153
156	156
156	22
156	60
156	64
156	67
156	70
156	71
156	74
156	75
156	78
156	81
156	82
156	85
156	86
156	146
156	147
156	150
156	152
156	153
156	156
156	22
156	60
156	64
156	67
156	70
156	71
156	74
156	75
156	78
156	81
156	82
156	85
156	86
156	146
156	147
156	150
156	152
156	153
156	156
156	22
156	60
156	64
156	67
156	70
156	71
156	74
156	75
156	78
156	81
156	82
156	85
156	86
156	146
156	147
156	150
156	152
156	153
156	156
156	22
156	60
156	64
156	67
156	70
156	71
156	74
156	75
156	78
156	81
156	82
156	85
156	86
156	146
156	147
156	150
156	152
156	153
156	156
156	22
156	60
156	64
156	67
156	70
156	71
156	74
156	75
156	78
156	81
156	82
156	85
156	86
156	146
156	147
156	150
156	152
156	153
156	156
156	22
156	60
156	64
156	67
156	70
156	71
156	74
156	75
156	78
156	81
156	82
156	85
156	86
156	146
156	147
156	150
156	152
156	153
156	156
156	22
156	60
156	64
156	67
156	70
156	71
156	74
156	75
156	78
156	81
156	82
156	85
156	86
156	146
156	147
156	150
156	152
156	153
156	156
156	22
156	60
156	64
156	67
156	70
156	71
156	74
156	75
156	78
156	81
156	82
156	85
156	86
156	146
156	147
156	150
156	152
156	153
156	156
156	22
156	60
156	64
156	67
156	70
156	71
156	74
156	75
156	78
156	81
156	82
156	85
156	86
156	146
156	147
156	150
156	152
156	153
156	156
156	22
156	60
156	64
156	67
156	70
156	71
156	74
156	75
156	78
156	81
156	82
156	85
156	86
156	146
156	147
156	150
156	152
156	153
156	156
156	22
156	60
156	64
156	67
156	70
156	71
156	74
156	75
156	78
156	81
156	82
156	85
156	86
156	146
156	147
156	150
156	152
156	153
156	156
156	22
156	60
156	64
156	67
156	70
156	71
156	74
156	75
156	78
156	81
156	82
156	85
156	86
156	146
156	147
156	150
156	152
156	153
156	156
156	22
156	60
156	64
156	67
156	70
156	71
156	74
156	75
156	78
156	81
156	82
156	85
156	86
156	146
156	147
156	150
156	152
156	153
156	156
156	22
156	60
156	64
156	67
156	70
156	71
156	74
156	75
156	78
156	81
156	82
156	85
156	86
156	146
156	147
156	150
156	152
156	153
156	156
