#Receptor_resid	Ligand_resid
119	7
119	11
119	24
119	28
119	31
119	32
119	35
119	38
119	39
119	41
119	42
119	43
119	66
119	67
119	69
119	71
119	86
119	88
119	89
119	91
119	109
119	111
119	119
119	7
119	11
119	24
119	28
119	31
119	32
119	35
119	38
119	39
119	41
119	42
119	43
119	66
119	67
119	69
119	71
119	86
119	88
119	89
119	91
119	109
119	111
119	119
119	7
119	11
119	24
119	28
119	31
119	32
119	35
119	38
119	39
119	41
119	42
119	43
119	66
119	67
119	69
119	71
119	86
119	88
119	89
119	91
119	109
119	111
119	119
119	7
119	11
119	24
119	28
119	31
119	32
119	35
119	38
119	39
119	41
119	42
119	43
119	66
119	67
119	69
119	71
119	86
119	88
119	89
119	91
119	109
119	111
119	119
119	7
119	11
119	24
119	28
119	31
119	32
119	35
119	38
119	39
119	41
119	42
119	43
119	66
119	67
119	69
119	71
119	86
119	88
119	89
119	91
119	109
119	111
119	119
119	7
119	11
119	24
119	28
119	31
119	32
119	35
119	38
119	39
119	41
119	42
119	43
119	66
119	67
119	69
119	71
119	86
119	88
119	89
119	91
119	109
119	111
119	119
119	7
119	11
119	24
119	28
119	31
119	32
119	35
119	38
119	39
119	41
119	42
119	43
119	66
119	67
119	69
119	71
119	86
119	88
119	89
119	91
119	109
119	111
119	119
119	7
119	11
119	24
119	28
119	31
119	32
119	35
119	38
119	39
119	41
119	42
119	43
119	66
119	67
119	69
119	71
119	86
119	88
119	89
119	91
119	109
119	111
119	119
119	7
119	11
119	24
119	28
119	31
119	32
119	35
119	38
119	39
119	41
119	42
119	43
119	66
119	67
119	69
119	71
119	86
119	88
119	89
119	91
119	109
119	111
119	119
119	7
119	11
119	24
119	28
119	31
119	32
119	35
119	38
119	39
119	41
119	42
119	43
119	66
119	67
119	69
119	71
119	86
119	88
119	89
119	91
119	109
119	111
119	119
119	7
119	11
119	24
119	28
119	31
119	32
119	35
119	38
119	39
119	41
119	42
119	43
119	66
119	67
119	69
119	71
119	86
119	88
119	89
119	91
119	109
119	111
119	119
119	7
119	11
119	24
119	28
119	31
119	32
119	35
119	38
119	39
119	41
119	42
119	43
119	66
119	67
119	69
119	71
119	86
119	88
119	89
119	91
119	109
119	111
119	119
119	7
119	11
119	24
119	28
119	31
119	32
119	35
119	38
119	39
119	41
119	42
119	43
119	66
119	67
119	69
119	71
119	86
119	88
119	89
119	91
119	109
119	111
119	119
119	7
119	11
119	24
119	28
119	31
119	32
119	35
119	38
119	39
119	41
119	42
119	43
119	66
119	67
119	69
119	71
119	86
119	88
119	89
119	91
119	109
119	111
119	119
119	7
119	11
119	24
119	28
119	31
119	32
119	35
119	38
119	39
119	41
119	42
119	43
119	66
119	67
119	69
119	71
119	86
119	88
119	89
119	91
119	109
119	111
119	119
119	7
119	11
119	24
119	28
119	31
119	32
119	35
119	38
119	39
119	41
119	42
119	43
119	66
119	67
119	69
119	71
119	86
119	88
119	89
119	91
119	109
119	111
119	119
119	7
119	11
119	24
119	28
119	31
119	32
119	35
119	38
119	39
119	41
119	42
119	43
119	66
119	67
119	69
119	71
119	86
119	88
119	89
119	91
119	109
119	111
119	119
119	7
119	11
119	24
119	28
119	31
119	32
119	35
119	38
119	39
119	41
119	42
119	43
119	66
119	67
119	69
119	71
119	86
119	88
119	89
119	91
119	109
119	111
119	119
119	7
119	11
119	24
119	28
119	31
119	32
119	35
119	38
119	39
119	41
119	42
119	43
119	66
119	67
119	69
119	71
119	86
119	88
119	89
119	91
119	109
119	111
119	119
119	7
119	11
119	24
119	28
119	31
119	32
119	35
119	38
119	39
119	41
119	42
119	43
119	66
119	67
119	69
119	71
119	86
119	88
119	89
119	91
119	109
119	111
119	119
119	7
119	11
119	24
119	28
119	31
119	32
119	35
119	38
119	39
119	41
119	42
119	43
119	66
119	67
119	69
119	71
119	86
119	88
119	89
119	91
119	109
119	111
119	119
119	7
119	11
119	24
119	28
119	31
119	32
119	35
119	38
119	39
119	41
119	42
119	43
119	66
119	67
119	69
119	71
119	86
119	88
119	89
119	91
119	109
119	111
119	119
119	7
119	11
119	24
119	28
119	31
119	32
119	35
119	38
119	39
119	41
119	42
119	43
119	66
119	67
119	69
119	71
119	86
119	88
119	89
119	91
119	109
119	111
119	119
119	7
119	11
119	24
119	28
119	31
119	32
119	35
119	38
119	39
119	41
119	42
119	43
119	66
119	67
119	69
119	71
119	86
119	88
119	89
119	91
119	109
119	111
119	119
119	7
119	11
119	24
119	28
119	31
119	32
119	35
119	38
119	39
119	41
119	42
119	43
119	66
119	67
119	69
119	71
119	86
119	88
119	89
119	91
119	109
119	111
119	119
119	7
119	11
119	24
119	28
119	31
119	32
119	35
119	38
119	39
119	41
119	42
119	43
119	66
119	67
119	69
119	71
119	86
119	88
119	89
119	91
119	109
119	111
119	119
