#Receptor_resid	Ligand_resid
598	30
598	31
598	32
598	50
598	53
598	91
598	92
598	94
598	96
598	530
598	531
598	532
598	533
598	550
598	552
598	553
598	554
598	556
598	558
598	598
598	30
598	31
598	32
598	50
598	53
598	91
598	92
598	94
598	96
598	530
598	531
598	532
598	533
598	550
598	552
598	553
598	554
598	556
598	558
598	598
598	30
598	31
598	32
598	50
598	53
598	91
598	92
598	94
598	96
598	530
598	531
598	532
598	533
598	550
598	552
598	553
598	554
598	556
598	558
598	598
598	30
598	31
598	32
598	50
598	53
598	91
598	92
598	94
598	96
598	530
598	531
598	532
598	533
598	550
598	552
598	553
598	554
598	556
598	558
598	598
598	30
598	31
598	32
598	50
598	53
598	91
598	92
598	94
598	96
598	530
598	531
598	532
598	533
598	550
598	552
598	553
598	554
598	556
598	558
598	598
598	30
598	31
598	32
598	50
598	53
598	91
598	92
598	94
598	96
598	530
598	531
598	532
598	533
598	550
598	552
598	553
598	554
598	556
598	558
598	598
598	30
598	31
598	32
598	50
598	53
598	91
598	92
598	94
598	96
598	530
598	531
598	532
598	533
598	550
598	552
598	553
598	554
598	556
598	558
598	598
598	30
598	31
598	32
598	50
598	53
598	91
598	92
598	94
598	96
598	530
598	531
598	532
598	533
598	550
598	552
598	553
598	554
598	556
598	558
598	598
598	30
598	31
598	32
598	50
598	53
598	91
598	92
598	94
598	96
598	530
598	531
598	532
598	533
598	550
598	552
598	553
598	554
598	556
598	558
598	598
598	30
598	31
598	32
598	50
598	53
598	91
598	92
598	94
598	96
598	530
598	531
598	532
598	533
598	550
598	552
598	553
598	554
598	556
598	558
598	598
598	30
598	31
598	32
598	50
598	53
598	91
598	92
598	94
598	96
598	530
598	531
598	532
598	533
598	550
598	552
598	553
598	554
598	556
598	558
598	598
598	30
598	31
598	32
598	50
598	53
598	91
598	92
598	94
598	96
598	530
598	531
598	532
598	533
598	550
598	552
598	553
598	554
598	556
598	558
598	598
598	30
598	31
598	32
598	50
598	53
598	91
598	92
598	94
598	96
598	530
598	531
598	532
598	533
598	550
598	552
598	553
598	554
598	556
598	558
598	598
598	30
598	31
598	32
598	50
598	53
598	91
598	92
598	94
598	96
598	530
598	531
598	532
598	533
598	550
598	552
598	553
598	554
598	556
598	558
598	598
598	30
598	31
598	32
598	50
598	53
598	91
598	92
598	94
598	96
598	530
598	531
598	532
598	533
598	550
598	552
598	553
598	554
598	556
598	558
598	598
598	30
598	31
598	32
598	50
598	53
598	91
598	92
598	94
598	96
598	530
598	531
598	532
598	533
598	550
598	552
598	553
598	554
598	556
598	558
598	598
598	30
598	31
598	32
598	50
598	53
598	91
598	92
598	94
598	96
598	530
598	531
598	532
598	533
598	550
598	552
598	553
598	554
598	556
598	558
598	598
598	30
598	31
598	32
598	50
598	53
598	91
598	92
598	94
598	96
598	530
598	531
598	532
598	533
598	550
598	552
598	553
598	554
598	556
598	558
598	598
598	30
598	31
598	32
598	50
598	53
598	91
598	92
598	94
598	96
598	530
598	531
598	532
598	533
598	550
598	552
598	553
598	554
598	556
598	558
598	598
598	30
598	31
598	32
598	50
598	53
598	91
598	92
598	94
598	96
598	530
598	531
598	532
598	533
598	550
598	552
598	553
598	554
598	556
598	558
598	598
