#Receptor_resid	Ligand_resid
798	235
798	237
798	238
798	327
798	328
798	329
798	737
798	738
798	739
798	765
798	767
798	769
798	797
798	798
798	235
798	237
798	238
798	327
798	328
798	329
798	737
798	738
798	739
798	765
798	767
798	769
798	797
798	798
798	235
798	237
798	238
798	327
798	328
798	329
798	737
798	738
798	739
798	765
798	767
798	769
798	797
798	798
798	235
798	237
798	238
798	327
798	328
798	329
798	737
798	738
798	739
798	765
798	767
798	769
798	797
798	798
798	235
798	237
798	238
798	327
798	328
798	329
798	737
798	738
798	739
798	765
798	767
798	769
798	797
798	798
798	235
798	237
798	238
798	327
798	328
798	329
798	737
798	738
798	739
798	765
798	767
798	769
798	797
798	798
798	235
798	237
798	238
798	327
798	328
798	329
798	737
798	738
798	739
798	765
798	767
798	769
798	797
798	798
798	235
798	237
798	238
798	327
798	328
798	329
798	737
798	738
798	739
798	765
798	767
798	769
798	797
798	798
798	235
798	237
798	238
798	327
798	328
798	329
798	737
798	738
798	739
798	765
798	767
798	769
798	797
798	798
798	235
798	237
798	238
798	327
798	328
798	329
798	737
798	738
798	739
798	765
798	767
798	769
798	797
798	798
798	235
798	237
798	238
798	327
798	328
798	329
798	737
798	738
798	739
798	765
798	767
798	769
798	797
798	798
798	235
798	237
798	238
798	327
798	328
798	329
798	737
798	738
798	739
798	765
798	767
798	769
798	797
798	798
