#Receptor_resid	Ligand_resid
384	20
384	24
384	27
384	28
384	57
384	58
384	60
384	61
384	63
384	206
384	207
384	208
384	211
384	240
384	241
384	244
384	377
384	380
384	384
384	20
384	24
384	27
384	28
384	57
384	58
384	60
384	61
384	63
384	206
384	207
384	208
384	211
384	240
384	241
384	244
384	377
384	380
384	384
384	20
384	24
384	27
384	28
384	57
384	58
384	60
384	61
384	63
384	206
384	207
384	208
384	211
384	240
384	241
384	244
384	377
384	380
384	384
384	20
384	24
384	27
384	28
384	57
384	58
384	60
384	61
384	63
384	206
384	207
384	208
384	211
384	240
384	241
384	244
384	377
384	380
384	384
384	20
384	24
384	27
384	28
384	57
384	58
384	60
384	61
384	63
384	206
384	207
384	208
384	211
384	240
384	241
384	244
384	377
384	380
384	384
384	20
384	24
384	27
384	28
384	57
384	58
384	60
384	61
384	63
384	206
384	207
384	208
384	211
384	240
384	241
384	244
384	377
384	380
384	384
384	20
384	24
384	27
384	28
384	57
384	58
384	60
384	61
384	63
384	206
384	207
384	208
384	211
384	240
384	241
384	244
384	377
384	380
384	384
384	20
384	24
384	27
384	28
384	57
384	58
384	60
384	61
384	63
384	206
384	207
384	208
384	211
384	240
384	241
384	244
384	377
384	380
384	384
384	20
384	24
384	27
384	28
384	57
384	58
384	60
384	61
384	63
384	206
384	207
384	208
384	211
384	240
384	241
384	244
384	377
384	380
384	384
384	20
384	24
384	27
384	28
384	57
384	58
384	60
384	61
384	63
384	206
384	207
384	208
384	211
384	240
384	241
384	244
384	377
384	380
384	384
384	20
384	24
384	27
384	28
384	57
384	58
384	60
384	61
384	63
384	206
384	207
384	208
384	211
384	240
384	241
384	244
384	377
384	380
384	384
384	20
384	24
384	27
384	28
384	57
384	58
384	60
384	61
384	63
384	206
384	207
384	208
384	211
384	240
384	241
384	244
384	377
384	380
384	384
384	20
384	24
384	27
384	28
384	57
384	58
384	60
384	61
384	63
384	206
384	207
384	208
384	211
384	240
384	241
384	244
384	377
384	380
384	384
384	20
384	24
384	27
384	28
384	57
384	58
384	60
384	61
384	63
384	206
384	207
384	208
384	211
384	240
384	241
384	244
384	377
384	380
384	384
384	20
384	24
384	27
384	28
384	57
384	58
384	60
384	61
384	63
384	206
384	207
384	208
384	211
384	240
384	241
384	244
384	377
384	380
384	384
384	20
384	24
384	27
384	28
384	57
384	58
384	60
384	61
384	63
384	206
384	207
384	208
384	211
384	240
384	241
384	244
384	377
384	380
384	384
384	20
384	24
384	27
384	28
384	57
384	58
384	60
384	61
384	63
384	206
384	207
384	208
384	211
384	240
384	241
384	244
384	377
384	380
384	384
