#Receptor_resid	Ligand_resid
605	90
605	91
605	92
605	94
605	530
605	531
605	532
605	533
605	550
605	552
605	557
605	559
605	601
605	605
605	90
605	91
605	92
605	94
605	530
605	531
605	532
605	533
605	550
605	552
605	557
605	559
605	601
605	605
605	90
605	91
605	92
605	94
605	530
605	531
605	532
605	533
605	550
605	552
605	557
605	559
605	601
605	605
605	90
605	91
605	92
605	94
605	530
605	531
605	532
605	533
605	550
605	552
605	557
605	559
605	601
605	605
605	90
605	91
605	92
605	94
605	530
605	531
605	532
605	533
605	550
605	552
605	557
605	559
605	601
605	605
605	90
605	91
605	92
605	94
605	530
605	531
605	532
605	533
605	550
605	552
605	557
605	559
605	601
605	605
605	90
605	91
605	92
605	94
605	530
605	531
605	532
605	533
605	550
605	552
605	557
605	559
605	601
605	605
605	90
605	91
605	92
605	94
605	530
605	531
605	532
605	533
605	550
605	552
605	557
605	559
605	601
605	605
605	90
605	91
605	92
605	94
605	530
605	531
605	532
605	533
605	550
605	552
605	557
605	559
605	601
605	605
605	90
605	91
605	92
605	94
605	530
605	531
605	532
605	533
605	550
605	552
605	557
605	559
605	601
605	605
