#Receptor_resid	Ligand_resid
162	21
162	22
162	24
162	25
162	26
162	27
162	28
162	29
162	30
162	31
162	159
162	160
162	162
162	21
162	22
162	24
162	25
162	26
162	27
162	28
162	29
162	30
162	31
162	159
162	160
162	162
162	21
162	22
162	24
162	25
162	26
162	27
162	28
162	29
162	30
162	31
162	159
162	160
162	162
162	21
162	22
162	24
162	25
162	26
162	27
162	28
162	29
162	30
162	31
162	159
162	160
162	162
162	21
162	22
162	24
162	25
162	26
162	27
162	28
162	29
162	30
162	31
162	159
162	160
162	162
162	21
162	22
162	24
162	25
162	26
162	27
162	28
162	29
162	30
162	31
162	159
162	160
162	162
162	21
162	22
162	24
162	25
162	26
162	27
162	28
162	29
162	30
162	31
162	159
162	160
162	162
162	21
162	22
162	24
162	25
162	26
162	27
162	28
162	29
162	30
162	31
162	159
162	160
162	162
162	21
162	22
162	24
162	25
162	26
162	27
162	28
162	29
162	30
162	31
162	159
162	160
162	162
162	21
162	22
162	24
162	25
162	26
162	27
162	28
162	29
162	30
162	31
162	159
162	160
162	162
162	21
162	22
162	24
162	25
162	26
162	27
162	28
162	29
162	30
162	31
162	159
162	160
162	162
162	21
162	22
162	24
162	25
162	26
162	27
162	28
162	29
162	30
162	31
162	159
162	160
162	162
