#Receptor_resid	Ligand_resid
215	23
215	25
215	26
215	42
215	47
215	48
215	52
215	92
215	94
215	138
215	141
215	186
215	187
215	188
215	189
215	190
215	191
215	211
215	212
215	213
215	215
215	23
215	25
215	26
215	42
215	47
215	48
215	52
215	92
215	94
215	138
215	141
215	186
215	187
215	188
215	189
215	190
215	191
215	211
215	212
215	213
215	215
215	23
215	25
215	26
215	42
215	47
215	48
215	52
215	92
215	94
215	138
215	141
215	186
215	187
215	188
215	189
215	190
215	191
215	211
215	212
215	213
215	215
215	23
215	25
215	26
215	42
215	47
215	48
215	52
215	92
215	94
215	138
215	141
215	186
215	187
215	188
215	189
215	190
215	191
215	211
215	212
215	213
215	215
215	23
215	25
215	26
215	42
215	47
215	48
215	52
215	92
215	94
215	138
215	141
215	186
215	187
215	188
215	189
215	190
215	191
215	211
215	212
215	213
215	215
215	23
215	25
215	26
215	42
215	47
215	48
215	52
215	92
215	94
215	138
215	141
215	186
215	187
215	188
215	189
215	190
215	191
215	211
215	212
215	213
215	215
215	23
215	25
215	26
215	42
215	47
215	48
215	52
215	92
215	94
215	138
215	141
215	186
215	187
215	188
215	189
215	190
215	191
215	211
215	212
215	213
215	215
215	23
215	25
215	26
215	42
215	47
215	48
215	52
215	92
215	94
215	138
215	141
215	186
215	187
215	188
215	189
215	190
215	191
215	211
215	212
215	213
215	215
215	23
215	25
215	26
215	42
215	47
215	48
215	52
215	92
215	94
215	138
215	141
215	186
215	187
215	188
215	189
215	190
215	191
215	211
215	212
215	213
215	215
215	23
215	25
215	26
215	42
215	47
215	48
215	52
215	92
215	94
215	138
215	141
215	186
215	187
215	188
215	189
215	190
215	191
215	211
215	212
215	213
215	215
215	23
215	25
215	26
215	42
215	47
215	48
215	52
215	92
215	94
215	138
215	141
215	186
215	187
215	188
215	189
215	190
215	191
215	211
215	212
215	213
215	215
215	23
215	25
215	26
215	42
215	47
215	48
215	52
215	92
215	94
215	138
215	141
215	186
215	187
215	188
215	189
215	190
215	191
215	211
215	212
215	213
215	215
215	23
215	25
215	26
215	42
215	47
215	48
215	52
215	92
215	94
215	138
215	141
215	186
215	187
215	188
215	189
215	190
215	191
215	211
215	212
215	213
215	215
215	23
215	25
215	26
215	42
215	47
215	48
215	52
215	92
215	94
215	138
215	141
215	186
215	187
215	188
215	189
215	190
215	191
215	211
215	212
215	213
215	215
215	23
215	25
215	26
215	42
215	47
215	48
215	52
215	92
215	94
215	138
215	141
215	186
215	187
215	188
215	189
215	190
215	191
215	211
215	212
215	213
215	215
215	23
215	25
215	26
215	42
215	47
215	48
215	52
215	92
215	94
215	138
215	141
215	186
215	187
215	188
215	189
215	190
215	191
215	211
215	212
215	213
215	215
215	23
215	25
215	26
215	42
215	47
215	48
215	52
215	92
215	94
215	138
215	141
215	186
215	187
215	188
215	189
215	190
215	191
215	211
215	212
215	213
215	215
