#Receptor_resid	Ligand_resid
155	5
155	8
155	9
155	10
155	11
155	14
155	15
155	16
155	20
155	44
155	45
155	46
155	47
155	48
155	49
155	52
155	78
155	96
155	97
155	100
155	103
155	104
155	107
155	108
155	131
155	133
155	140
155	143
155	147
155	150
155	151
155	154
155	155
155	5
155	8
155	9
155	10
155	11
155	14
155	15
155	16
155	20
155	44
155	45
155	46
155	47
155	48
155	49
155	52
155	78
155	96
155	97
155	100
155	103
155	104
155	107
155	108
155	131
155	133
155	140
155	143
155	147
155	150
155	151
155	154
155	155
155	5
155	8
155	9
155	10
155	11
155	14
155	15
155	16
155	20
155	44
155	45
155	46
155	47
155	48
155	49
155	52
155	78
155	96
155	97
155	100
155	103
155	104
155	107
155	108
155	131
155	133
155	140
155	143
155	147
155	150
155	151
155	154
155	155
155	5
155	8
155	9
155	10
155	11
155	14
155	15
155	16
155	20
155	44
155	45
155	46
155	47
155	48
155	49
155	52
155	78
155	96
155	97
155	100
155	103
155	104
155	107
155	108
155	131
155	133
155	140
155	143
155	147
155	150
155	151
155	154
155	155
155	5
155	8
155	9
155	10
155	11
155	14
155	15
155	16
155	20
155	44
155	45
155	46
155	47
155	48
155	49
155	52
155	78
155	96
155	97
155	100
155	103
155	104
155	107
155	108
155	131
155	133
155	140
155	143
155	147
155	150
155	151
155	154
155	155
155	5
155	8
155	9
155	10
155	11
155	14
155	15
155	16
155	20
155	44
155	45
155	46
155	47
155	48
155	49
155	52
155	78
155	96
155	97
155	100
155	103
155	104
155	107
155	108
155	131
155	133
155	140
155	143
155	147
155	150
155	151
155	154
155	155
155	5
155	8
155	9
155	10
155	11
155	14
155	15
155	16
155	20
155	44
155	45
155	46
155	47
155	48
155	49
155	52
155	78
155	96
155	97
155	100
155	103
155	104
155	107
155	108
155	131
155	133
155	140
155	143
155	147
155	150
155	151
155	154
155	155
155	5
155	8
155	9
155	10
155	11
155	14
155	15
155	16
155	20
155	44
155	45
155	46
155	47
155	48
155	49
155	52
155	78
155	96
155	97
155	100
155	103
155	104
155	107
155	108
155	131
155	133
155	140
155	143
155	147
155	150
155	151
155	154
155	155
155	5
155	8
155	9
155	10
155	11
155	14
155	15
155	16
155	20
155	44
155	45
155	46
155	47
155	48
155	49
155	52
155	78
155	96
155	97
155	100
155	103
155	104
155	107
155	108
155	131
155	133
155	140
155	143
155	147
155	150
155	151
155	154
155	155
155	5
155	8
155	9
155	10
155	11
155	14
155	15
155	16
155	20
155	44
155	45
155	46
155	47
155	48
155	49
155	52
155	78
155	96
155	97
155	100
155	103
155	104
155	107
155	108
155	131
155	133
155	140
155	143
155	147
155	150
155	151
155	154
155	155
155	5
155	8
155	9
155	10
155	11
155	14
155	15
155	16
155	20
155	44
155	45
155	46
155	47
155	48
155	49
155	52
155	78
155	96
155	97
155	100
155	103
155	104
155	107
155	108
155	131
155	133
155	140
155	143
155	147
155	150
155	151
155	154
155	155
155	5
155	8
155	9
155	10
155	11
155	14
155	15
155	16
155	20
155	44
155	45
155	46
155	47
155	48
155	49
155	52
155	78
155	96
155	97
155	100
155	103
155	104
155	107
155	108
155	131
155	133
155	140
155	143
155	147
155	150
155	151
155	154
155	155
155	5
155	8
155	9
155	10
155	11
155	14
155	15
155	16
155	20
155	44
155	45
155	46
155	47
155	48
155	49
155	52
155	78
155	96
155	97
155	100
155	103
155	104
155	107
155	108
155	131
155	133
155	140
155	143
155	147
155	150
155	151
155	154
155	155
155	5
155	8
155	9
155	10
155	11
155	14
155	15
155	16
155	20
155	44
155	45
155	46
155	47
155	48
155	49
155	52
155	78
155	96
155	97
155	100
155	103
155	104
155	107
155	108
155	131
155	133
155	140
155	143
155	147
155	150
155	151
155	154
155	155
155	5
155	8
155	9
155	10
155	11
155	14
155	15
155	16
155	20
155	44
155	45
155	46
155	47
155	48
155	49
155	52
155	78
155	96
155	97
155	100
155	103
155	104
