#Receptor_resid	Ligand_resid
118	74
118	75
118	76
118	77
118	82
118	86
118	90
118	117
118	118
118	74
118	75
118	76
118	77
118	82
118	86
118	90
118	117
118	118
118	74
118	75
118	76
118	77
118	82
118	86
118	90
118	117
118	118
118	74
118	75
118	76
118	77
118	82
118	86
118	90
118	117
118	118
118	74
118	75
118	76
118	77
118	82
118	86
118	90
118	117
118	118
118	74
118	75
118	76
118	77
118	82
118	86
118	90
118	117
118	118
118	74
118	75
118	76
118	77
118	82
118	86
118	90
118	117
118	118
118	74
118	75
118	76
118	77
118	82
118	86
118	90
118	117
118	118
118	74
118	75
118	76
118	77
118	82
118	86
118	90
118	117
118	118
118	74
118	75
118	76
118	77
118	82
118	86
118	90
118	117
118	118
118	74
118	75
118	76
118	77
118	82
118	86
118	90
118	117
118	118
