#Receptor_resid	Ligand_resid
303	13
303	16
303	18
303	59
303	75
303	78
303	136
303	138
303	264
303	267
303	293
303	300
303	301
303	302
303	303
303	13
303	16
303	18
303	59
303	75
303	78
303	136
303	138
303	264
303	267
303	293
303	300
303	301
303	302
303	303
303	13
303	16
303	18
303	59
303	75
303	78
303	136
303	138
303	264
303	267
303	293
303	300
303	301
303	302
303	303
303	13
303	16
303	18
303	59
303	75
303	78
303	136
303	138
303	264
303	267
303	293
303	300
303	301
303	302
303	303
303	13
303	16
303	18
303	59
303	75
303	78
303	136
303	138
303	264
303	267
303	293
303	300
303	301
303	302
303	303
303	13
303	16
303	18
303	59
303	75
303	78
303	136
303	138
303	264
303	267
303	293
303	300
303	301
303	302
303	303
303	13
303	16
303	18
303	59
303	75
303	78
303	136
303	138
303	264
303	267
303	293
303	300
303	301
303	302
303	303
303	13
303	16
303	18
303	59
303	75
303	78
303	136
303	138
303	264
303	267
303	293
303	300
303	301
303	302
303	303
303	13
303	16
303	18
303	59
303	75
303	78
303	136
303	138
303	264
303	267
303	293
303	300
303	301
303	302
303	303
303	13
303	16
303	18
303	59
303	75
303	78
303	136
303	138
303	264
303	267
303	293
303	300
303	301
303	302
303	303
303	13
303	16
303	18
303	59
303	75
303	78
303	136
303	138
303	264
303	267
303	293
303	300
303	301
303	302
303	303
303	13
303	16
303	18
303	59
303	75
303	78
303	136
303	138
303	264
303	267
303	293
303	300
303	301
303	302
303	303
303	13
303	16
303	18
303	59
303	75
303	78
303	136
303	138
303	264
303	267
303	293
303	300
303	301
303	302
303	303
