#Receptor_resid	Ligand_resid
215	22
215	23
215	24
215	25
215	40
215	43
215	70
215	71
215	72
215	73
215	76
215	77
215	78
215	152
215	169
215	170
215	171
215	172
215	173
215	174
215	189
215	190
215	191
215	192
215	193
215	208
215	209
215	210
215	211
215	212
215	215
215	22
215	23
215	24
215	25
215	40
215	43
215	70
215	71
215	72
215	73
215	76
215	77
215	78
215	152
215	169
215	170
215	171
215	172
215	173
215	174
215	189
215	190
215	191
215	192
215	193
215	208
215	209
215	210
215	211
215	212
215	215
215	22
215	23
215	24
215	25
215	40
215	43
215	70
215	71
215	72
215	73
215	76
215	77
215	78
215	152
215	169
215	170
215	171
215	172
215	173
215	174
215	189
215	190
215	191
215	192
215	193
215	208
215	209
215	210
215	211
215	212
215	215
215	22
215	23
215	24
215	25
215	40
215	43
215	70
215	71
215	72
215	73
215	76
215	77
215	78
215	152
215	169
215	170
215	171
215	172
215	173
215	174
215	189
215	190
215	191
215	192
215	193
215	208
215	209
215	210
215	211
215	212
215	215
215	22
215	23
215	24
215	25
215	40
215	43
215	70
215	71
215	72
215	73
215	76
215	77
215	78
215	152
215	169
215	170
215	171
215	172
215	173
215	174
215	189
215	190
215	191
215	192
215	193
215	208
215	209
215	210
215	211
215	212
215	215
215	22
215	23
215	24
215	25
215	40
215	43
215	70
215	71
215	72
215	73
215	76
215	77
215	78
215	152
215	169
215	170
215	171
215	172
215	173
215	174
215	189
215	190
215	191
215	192
215	193
215	208
215	209
215	210
215	211
215	212
215	215
215	22
215	23
215	24
215	25
215	40
215	43
215	70
215	71
215	72
215	73
215	76
215	77
215	78
215	152
215	169
215	170
215	171
215	172
215	173
215	174
215	189
215	190
215	191
215	192
215	193
215	208
215	209
215	210
215	211
215	212
215	215
215	22
215	23
215	24
215	25
215	40
215	43
215	70
215	71
215	72
215	73
215	76
215	77
215	78
215	152
215	169
215	170
215	171
215	172
215	173
215	174
215	189
215	190
215	191
215	192
215	193
215	208
215	209
215	210
215	211
215	212
215	215
215	22
215	23
215	24
215	25
215	40
215	43
215	70
215	71
215	72
215	73
215	76
215	77
215	78
215	152
215	169
215	170
215	171
215	172
215	173
215	174
215	189
215	190
215	191
215	192
215	193
215	208
215	209
215	210
215	211
215	212
215	215
215	22
215	23
215	24
215	25
215	40
215	43
215	70
215	71
215	72
215	73
215	76
215	77
215	78
215	152
215	169
215	170
215	171
215	172
215	173
215	174
215	189
215	190
215	191
215	192
215	193
215	208
215	209
215	210
215	211
215	212
215	215
215	22
215	23
215	24
215	25
215	40
215	43
215	70
215	71
215	72
215	73
215	76
215	77
215	78
215	152
215	169
215	170
215	171
215	172
215	173
215	174
215	189
215	190
215	191
215	192
215	193
215	208
215	209
215	210
215	211
215	212
215	215
215	22
215	23
215	24
215	25
215	40
215	43
215	70
215	71
215	72
215	73
215	76
215	77
215	78
215	152
215	169
215	170
215	171
215	172
215	173
215	174
215	189
215	190
215	191
215	192
215	193
215	208
215	209
215	210
215	211
215	212
215	215
215	22
215	23
215	24
215	25
215	40
215	43
215	70
215	71
215	72
215	73
215	76
215	77
215	78
215	152
215	169
215	170
215	171
215	172
215	173
215	174
215	189
215	190
215	191
215	192
215	193
215	208
215	209
215	210
215	211
215	212
215	215
215	22
215	23
215	24
215	25
215	40
215	43
215	70
215	71
215	72
215	73
215	76
215	77
215	78
215	152
215	169
215	170
215	171
215	172
215	173
215	174
215	189
215	190
215	191
215	192
215	193
215	208
215	209
215	210
215	211
215	212
215	215
215	22
215	23
215	24
215	25
215	40
215	43
215	70
215	71
215	72
215	73
215	76
215	77
215	78
215	152
215	169
215	170
215	171
215	172
215	173
215	174
215	189
215	190
215	191
215	192
215	193
215	208
215	209
215	210
215	211
215	212
215	215
215	22
215	23
215	24
215	25
215	40
215	43
215	70
215	71
215	72
215	73
215	76
215	77
215	78
215	152
215	169
215	170
215	171
215	172
215	173
215	174
215	189
215	190
215	191
215	192
215	193
215	208
215	209
215	210
215	211
215	212
215	215
215	22
215	23
215	24
215	25
215	40
215	43
215	70
215	71
215	72
215	73
215	76
215	77
215	78
215	152
215	169
215	170
215	171
215	172
215	173
215	174
215	189
215	190
215	191
215	192
215	193
215	208
215	209
215	210
215	211
215	212
215	215
215	22
215	23
215	24
215	25
215	40
215	43
215	70
215	71
215	72
215	73
215	76
215	77
215	78
215	152
215	169
215	170
215	171
215	172
215	173
215	174
215	189
215	190
215	191
215	192
215	193
215	208
215	209
215	210
215	211
215	212
215	215
215	22
215	23
215	24
215	25
215	40
215	43
215	70
215	71
215	72
215	73
215	76
215	77
215	78
215	152
215	169
215	170
215	171
215	172
215	173
215	174
215	189
215	190
215	191
215	192
215	193
215	208
215	209
215	210
215	211
215	212
215	215
215	22
215	23
215	24
215	25
215	40
215	43
215	70
215	71
215	72
215	73
215	76
215	77
215	78
215	152
215	169
215	170
215	171
215	172
215	173
215	174
215	189
215	190
215	191
215	192
215	193
215	208
215	209
215	210
215	211
215	212
215	215
215	22
215	23
215	24
215	25
215	40
215	43
215	70
215	71
215	72
215	73
215	76
215	77
215	78
215	152
215	169
215	170
215	171
215	172
215	173
215	174
215	189
215	190
215	191
215	192
215	193
215	208
215	209
215	210
215	211
215	212
215	215
