#Receptor_resid	Ligand_resid
800	30
800	33
800	34
800	36
800	37
800	38
800	41
800	42
800	44
800	84
800	88
800	127
800	128
800	129
800	130
800	759
800	763
800	766
800	767
800	800
800	30
800	33
800	34
800	36
800	37
800	38
800	41
800	42
800	44
800	84
800	88
800	127
800	128
800	129
800	130
800	759
800	763
800	766
800	767
800	800
800	30
800	33
800	34
800	36
800	37
800	38
800	41
800	42
800	44
800	84
800	88
800	127
800	128
800	129
800	130
800	759
800	763
800	766
800	767
800	800
800	30
800	33
800	34
800	36
800	37
800	38
800	41
800	42
800	44
800	84
800	88
800	127
800	128
800	129
800	130
800	759
800	763
800	766
800	767
800	800
800	30
800	33
800	34
800	36
800	37
800	38
800	41
800	42
800	44
800	84
800	88
800	127
800	128
800	129
800	130
800	759
800	763
800	766
800	767
800	800
800	30
800	33
800	34
800	36
800	37
800	38
800	41
800	42
800	44
800	84
800	88
800	127
800	128
800	129
800	130
800	759
800	763
800	766
800	767
800	800
800	30
800	33
800	34
800	36
800	37
800	38
800	41
800	42
800	44
800	84
800	88
800	127
800	128
800	129
800	130
800	759
800	763
800	766
800	767
800	800
800	30
800	33
800	34
800	36
800	37
800	38
800	41
800	42
800	44
800	84
800	88
800	127
800	128
800	129
800	130
800	759
800	763
800	766
800	767
800	800
800	30
800	33
800	34
800	36
800	37
800	38
800	41
800	42
800	44
800	84
800	88
800	127
800	128
800	129
800	130
800	759
800	763
800	766
800	767
800	800
800	30
800	33
800	34
800	36
800	37
800	38
800	41
800	42
800	44
800	84
800	88
800	127
800	128
800	129
800	130
800	759
800	763
800	766
800	767
800	800
800	30
800	33
800	34
800	36
800	37
800	38
800	41
800	42
800	44
800	84
800	88
800	127
800	128
800	129
800	130
800	759
800	763
800	766
800	767
800	800
800	30
800	33
800	34
800	36
800	37
800	38
800	41
800	42
800	44
800	84
800	88
800	127
800	128
800	129
800	130
800	759
800	763
800	766
800	767
800	800
800	30
800	33
800	34
800	36
800	37
800	38
800	41
800	42
800	44
800	84
800	88
800	127
800	128
800	129
800	130
800	759
800	763
800	766
800	767
800	800
800	30
800	33
800	34
800	36
800	37
800	38
800	41
800	42
800	44
800	84
800	88
800	127
800	128
800	129
800	130
800	759
800	763
800	766
800	767
800	800
800	30
800	33
800	34
800	36
800	37
800	38
800	41
800	42
800	44
800	84
800	88
800	127
800	128
800	129
800	130
800	759
800	763
800	766
800	767
800	800
800	30
800	33
800	34
800	36
800	37
800	38
800	41
800	42
800	44
800	84
800	88
800	127
800	128
800	129
800	130
800	759
800	763
800	766
800	767
800	800
800	30
800	33
800	34
800	36
800	37
800	38
800	41
800	42
800	44
800	84
800	88
800	127
800	128
800	129
800	130
800	759
800	763
800	766
800	767
800	800
800	30
800	33
800	34
800	36
800	37
800	38
800	41
800	42
800	44
800	84
800	88
800	127
800	128
800	129
800	130
800	759
800	763
800	766
800	767
800	800
