#Receptor_resid	Ligand_resid
237	37
237	39
237	81
237	83
237	99
237	100
237	129
237	130
237	131
237	137
237	138
237	139
237	141
237	142
237	143
237	217
237	237
237	37
237	39
237	81
237	83
237	99
237	100
237	129
237	130
237	131
237	137
237	138
237	139
237	141
237	142
237	143
237	217
237	237
237	37
237	39
237	81
237	83
237	99
237	100
237	129
237	130
237	131
237	137
237	138
237	139
237	141
237	142
237	143
237	217
237	237
237	37
237	39
237	81
237	83
237	99
237	100
237	129
237	130
237	131
237	137
237	138
237	139
237	141
237	142
237	143
237	217
237	237
237	37
237	39
237	81
237	83
237	99
237	100
237	129
237	130
237	131
237	137
237	138
237	139
237	141
237	142
237	143
237	217
237	237
237	37
237	39
237	81
237	83
237	99
237	100
237	129
237	130
237	131
237	137
237	138
237	139
237	141
237	142
237	143
237	217
237	237
237	37
237	39
237	81
237	83
237	99
237	100
237	129
237	130
237	131
237	137
237	138
237	139
237	141
237	142
237	143
237	217
237	237
237	37
237	39
237	81
237	83
237	99
237	100
237	129
237	130
237	131
237	137
237	138
237	139
237	141
237	142
237	143
237	217
237	237
237	37
237	39
237	81
237	83
237	99
237	100
237	129
237	130
237	131
237	137
237	138
237	139
237	141
237	142
237	143
237	217
237	237
237	37
237	39
237	81
237	83
237	99
237	100
237	129
237	130
237	131
237	137
237	138
237	139
237	141
237	142
237	143
237	217
237	237
237	37
237	39
237	81
237	83
237	99
237	100
237	129
237	130
237	131
237	137
237	138
237	139
237	141
237	142
237	143
237	217
237	237
237	37
237	39
237	81
237	83
237	99
237	100
237	129
237	130
237	131
237	137
237	138
237	139
237	141
237	142
237	143
237	217
237	237
237	37
237	39
237	81
237	83
237	99
237	100
237	129
237	130
237	131
237	137
237	138
237	139
237	141
237	142
237	143
237	217
237	237
237	37
237	39
237	81
237	83
237	99
237	100
237	129
237	130
237	131
237	137
237	138
237	139
237	141
237	142
237	143
237	217
237	237
237	37
237	39
237	81
237	83
237	99
237	100
237	129
237	130
237	131
237	137
237	138
237	139
237	141
237	142
237	143
237	217
237	237
237	37
237	39
237	81
237	83
237	99
237	100
237	129
237	130
237	131
237	137
237	138
237	139
237	141
237	142
237	143
237	217
237	237
237	37
237	39
237	81
237	83
237	99
237	100
237	129
237	130
237	131
237	137
237	138
237	139
237	141
237	142
237	143
237	217
237	237
237	37
237	39
237	81
237	83
237	99
237	100
237	129
237	130
237	131
237	137
237	138
237	139
237	141
237	142
237	143
237	217
237	237
237	37
237	39
237	81
237	83
237	99
237	100
237	129
237	130
237	131
237	137
237	138
237	139
237	141
237	142
237	143
237	217
237	237
237	37
237	39
237	81
237	83
237	99
237	100
237	129
237	130
237	131
237	137
237	138
237	139
237	141
237	142
237	143
237	217
237	237
