#Receptor_resid	Ligand_resid
94	64
94	69
94	70
94	71
94	72
94	77
94	78
94	79
94	92
94	93
94	94
94	64
94	69
94	70
94	71
94	72
94	77
94	78
94	79
94	92
94	93
94	94
94	64
94	69
94	70
94	71
94	72
94	77
94	78
94	79
94	92
94	93
94	94
94	64
94	69
94	70
94	71
94	72
94	77
94	78
94	79
94	92
94	93
94	94
94	64
94	69
94	70
94	71
94	72
94	77
94	78
94	79
94	92
94	93
94	94
94	64
94	69
94	70
94	71
94	72
94	77
94	78
94	79
94	92
94	93
94	94
94	64
94	69
94	70
94	71
94	72
94	77
94	78
94	79
94	92
94	93
94	94
94	64
94	69
94	70
94	71
94	72
94	77
94	78
94	79
94	92
94	93
94	94
94	64
94	69
94	70
94	71
94	72
94	77
94	78
94	79
94	92
94	93
94	94
94	64
94	69
94	70
94	71
94	72
94	77
94	78
94	79
94	92
94	93
94	94
94	64
94	69
94	70
94	71
94	72
94	77
94	78
94	79
94	92
94	93
94	94
94	64
94	69
94	70
94	71
94	72
94	77
94	78
94	79
94	92
94	93
94	94
94	64
94	69
94	70
94	71
94	72
94	77
94	78
94	79
94	92
94	93
94	94
94	64
94	69
94	70
94	71
94	72
94	77
94	78
94	79
94	92
94	93
94	94
94	64
94	69
94	70
94	71
94	72
94	77
94	78
94	79
94	92
94	93
94	94
94	64
94	69
94	70
94	71
94	72
94	77
94	78
94	79
94	92
94	93
94	94
