#Receptor_resid	Ligand_resid
36	6
36	10
36	11
36	12
36	14
36	15
36	18
36	29
36	32
36	35
36	36
36	6
36	10
36	11
36	12
36	14
36	15
36	18
36	29
36	32
36	35
36	36
36	6
36	10
36	11
36	12
36	14
36	15
36	18
36	29
36	32
36	35
36	36
36	6
36	10
36	11
36	12
36	14
36	15
36	18
36	29
36	32
36	35
36	36
36	6
36	10
36	11
36	12
36	14
36	15
36	18
36	29
36	32
36	35
36	36
36	6
36	10
36	11
36	12
36	14
36	15
36	18
36	29
36	32
36	35
36	36
36	6
36	10
36	11
36	12
36	14
36	15
36	18
36	29
36	32
36	35
36	36
36	6
36	10
36	11
36	12
36	14
36	15
36	18
36	29
36	32
36	35
36	36
36	6
36	10
36	11
36	12
36	14
36	15
36	18
36	29
36	32
36	35
36	36
36	6
36	10
36	11
36	12
36	14
36	15
36	18
36	29
36	32
36	35
36	36
36	6
36	10
36	11
36	12
36	14
36	15
36	18
36	29
36	32
36	35
36	36
36	6
36	10
36	11
36	12
36	14
36	15
36	18
36	29
36	32
36	35
36	36
