#Receptor_resid	Ligand_resid
438	251
438	252
438	253
438	254
438	311
438	380
438	382
438	426
438	428
438	433
438	434
438	436
438	438
438	251
438	252
438	253
438	254
438	311
438	380
438	382
438	426
438	428
438	433
438	434
438	436
438	438
438	251
438	252
438	253
438	254
438	311
438	380
438	382
438	426
438	428
438	433
438	434
438	436
438	438
438	251
438	252
438	253
438	254
438	311
438	380
438	382
438	426
438	428
438	433
438	434
438	436
438	438
438	251
438	252
438	253
438	254
438	311
438	380
438	382
438	426
438	428
438	433
438	434
438	436
438	438
438	251
438	252
438	253
438	254
438	311
438	380
438	382
438	426
438	428
438	433
438	434
438	436
438	438
438	251
438	252
438	253
438	254
438	311
438	380
438	382
438	426
438	428
438	433
438	434
438	436
438	438
438	251
438	252
438	253
438	254
438	311
438	380
438	382
438	426
438	428
438	433
438	434
438	436
438	438
438	251
438	252
438	253
438	254
438	311
438	380
438	382
438	426
438	428
438	433
438	434
438	436
438	438
438	251
438	252
438	253
438	254
438	311
438	380
438	382
438	426
438	428
438	433
438	434
438	436
438	438
438	251
438	252
438	253
438	254
438	311
438	380
438	382
438	426
438	428
438	433
438	434
438	436
438	438
438	251
438	252
438	253
438	254
438	311
438	380
438	382
438	426
438	428
438	433
438	434
438	436
438	438
438	251
438	252
438	253
438	254
438	311
438	380
438	382
438	426
438	428
438	433
438	434
438	436
438	438
438	251
438	252
438	253
438	254
438	311
438	380
438	382
438	426
438	428
438	433
438	434
438	436
438	438
