#Receptor_resid	Ligand_resid
126	90
126	92
126	95
126	96
126	99
126	100
126	103
126	105
126	122
126	125
126	126
126	90
126	92
126	95
126	96
126	99
126	100
126	103
126	105
126	122
126	125
126	126
126	90
126	92
126	95
126	96
126	99
126	100
126	103
126	105
126	122
126	125
126	126
126	90
126	92
126	95
126	96
126	99
126	100
126	103
126	105
126	122
126	125
126	126
126	90
126	92
126	95
126	96
126	99
126	100
126	103
126	105
126	122
126	125
126	126
126	90
126	92
126	95
126	96
126	99
126	100
126	103
126	105
126	122
126	125
126	126
126	90
126	92
126	95
126	96
126	99
126	100
126	103
126	105
126	122
126	125
126	126
126	90
126	92
126	95
126	96
126	99
126	100
126	103
126	105
126	122
126	125
126	126
126	90
126	92
126	95
126	96
126	99
126	100
126	103
126	105
126	122
126	125
126	126
126	90
126	92
126	95
126	96
126	99
126	100
126	103
126	105
126	122
126	125
126	126
126	90
126	92
126	95
126	96
126	99
126	100
126	103
126	105
126	122
126	125
126	126
126	90
126	92
126	95
126	96
126	99
126	100
126	103
126	105
126	122
126	125
126	126
126	90
126	92
126	95
126	96
126	99
126	100
126	103
126	105
126	122
126	125
126	126
