#Receptor_resid	Ligand_resid
212	29
212	30
212	45
212	49
212	86
212	88
212	89
212	141
212	164
212	167
212	184
212	185
212	186
212	187
212	188
212	207
212	208
212	209
212	210
212	211
212	212
212	29
212	30
212	45
212	49
212	86
212	88
212	89
212	141
212	164
212	167
212	184
212	185
212	186
212	187
212	188
212	207
212	208
212	209
212	210
212	211
212	212
212	29
212	30
212	45
212	49
212	86
212	88
212	89
212	141
212	164
212	167
212	184
212	185
212	186
212	187
212	188
212	207
212	208
212	209
212	210
212	211
212	212
212	29
212	30
212	45
212	49
212	86
212	88
212	89
212	141
212	164
212	167
212	184
212	185
212	186
212	187
212	188
212	207
212	208
212	209
212	210
212	211
212	212
212	29
212	30
212	45
212	49
212	86
212	88
212	89
212	141
212	164
212	167
212	184
212	185
212	186
212	187
212	188
212	207
212	208
212	209
212	210
212	211
212	212
212	29
212	30
212	45
212	49
212	86
212	88
212	89
212	141
212	164
212	167
212	184
212	185
212	186
212	187
212	188
212	207
212	208
212	209
212	210
212	211
212	212
212	29
212	30
212	45
212	49
212	86
212	88
212	89
212	141
212	164
212	167
212	184
212	185
212	186
212	187
212	188
212	207
212	208
212	209
212	210
212	211
212	212
212	29
212	30
212	45
212	49
212	86
212	88
212	89
212	141
212	164
212	167
212	184
212	185
212	186
212	187
212	188
212	207
212	208
212	209
212	210
212	211
212	212
212	29
212	30
212	45
212	49
212	86
212	88
212	89
212	141
212	164
212	167
212	184
212	185
212	186
212	187
212	188
212	207
212	208
212	209
212	210
212	211
212	212
212	29
212	30
212	45
212	49
212	86
212	88
212	89
212	141
212	164
212	167
212	184
212	185
212	186
212	187
212	188
212	207
212	208
212	209
212	210
212	211
212	212
212	29
212	30
212	45
212	49
212	86
212	88
212	89
212	141
212	164
212	167
212	184
212	185
212	186
212	187
212	188
212	207
212	208
212	209
212	210
212	211
212	212
212	29
212	30
212	45
212	49
212	86
212	88
212	89
212	141
212	164
212	167
212	184
212	185
212	186
212	187
212	188
212	207
212	208
212	209
212	210
212	211
212	212
212	29
212	30
212	45
212	49
212	86
212	88
212	89
212	141
212	164
212	167
212	184
212	185
212	186
212	187
212	188
212	207
212	208
212	209
212	210
212	211
212	212
212	29
212	30
212	45
212	49
212	86
212	88
212	89
212	141
212	164
212	167
212	184
212	185
212	186
212	187
212	188
212	207
212	208
212	209
212	210
212	211
212	212
