#Receptor_resid	Ligand_resid
191	53
191	54
191	87
191	110
191	111
191	141
191	172
191	177
191	178
191	180
191	181
191	182
191	183
191	184
191	186
191	187
191	191
191	53
191	54
191	87
191	110
191	111
191	141
191	172
191	177
191	178
191	180
191	181
191	182
191	183
191	184
191	186
191	187
191	191
191	53
191	54
191	87
191	110
191	111
191	141
191	172
191	177
191	178
191	180
191	181
191	182
191	183
191	184
191	186
191	187
191	191
191	53
191	54
191	87
191	110
191	111
191	141
191	172
191	177
191	178
191	180
191	181
191	182
191	183
191	184
191	186
191	187
191	191
191	53
191	54
191	87
191	110
191	111
191	141
191	172
191	177
191	178
191	180
191	181
191	182
191	183
191	184
191	186
191	187
191	191
191	53
191	54
191	87
191	110
191	111
191	141
191	172
191	177
191	178
191	180
191	181
191	182
191	183
191	184
191	186
191	187
191	191
191	53
191	54
191	87
191	110
191	111
191	141
191	172
191	177
191	178
191	180
191	181
191	182
191	183
191	184
191	186
191	187
191	191
191	53
191	54
191	87
191	110
191	111
191	141
191	172
191	177
191	178
191	180
191	181
191	182
191	183
191	184
191	186
191	187
191	191
191	53
191	54
191	87
191	110
191	111
191	141
191	172
191	177
191	178
191	180
191	181
191	182
191	183
191	184
191	186
191	187
191	191
191	53
191	54
191	87
191	110
191	111
191	141
191	172
191	177
191	178
191	180
191	181
191	182
191	183
191	184
191	186
191	187
191	191
191	53
191	54
191	87
191	110
191	111
191	141
191	172
191	177
191	178
191	180
191	181
191	182
191	183
191	184
191	186
191	187
191	191
191	53
191	54
191	87
191	110
191	111
191	141
191	172
191	177
191	178
191	180
191	181
191	182
191	183
191	184
191	186
191	187
191	191
191	53
191	54
191	87
191	110
191	111
191	141
191	172
191	177
191	178
191	180
191	181
191	182
191	183
191	184
191	186
191	187
191	191
191	53
191	54
191	87
191	110
191	111
191	141
191	172
191	177
191	178
191	180
191	181
191	182
191	183
191	184
191	186
191	187
191	191
191	53
191	54
191	87
191	110
191	111
191	141
191	172
191	177
191	178
191	180
191	181
191	182
191	183
191	184
191	186
191	187
191	191
