#Receptor_resid	Ligand_resid
232	64
232	67
232	112
232	175
232	176
232	177
232	178
232	179
232	180
232	181
232	200
232	202
232	203
232	205
232	206
232	209
232	232
232	64
232	67
232	112
232	175
232	176
232	177
232	178
232	179
232	180
232	181
232	200
232	202
232	203
232	205
232	206
232	209
232	232
232	64
232	67
232	112
232	175
232	176
232	177
232	178
232	179
232	180
232	181
232	200
232	202
232	203
232	205
232	206
232	209
232	232
232	64
232	67
232	112
232	175
232	176
232	177
232	178
232	179
232	180
232	181
232	200
232	202
232	203
232	205
232	206
232	209
232	232
232	64
232	67
232	112
232	175
232	176
232	177
232	178
232	179
232	180
232	181
232	200
232	202
232	203
232	205
232	206
232	209
232	232
232	64
232	67
232	112
232	175
232	176
232	177
232	178
232	179
232	180
232	181
232	200
232	202
232	203
232	205
232	206
232	209
232	232
232	64
232	67
232	112
232	175
232	176
232	177
232	178
232	179
232	180
232	181
232	200
232	202
232	203
232	205
232	206
232	209
232	232
232	64
232	67
232	112
232	175
232	176
232	177
232	178
232	179
232	180
232	181
232	200
232	202
232	203
232	205
232	206
232	209
232	232
232	64
232	67
232	112
232	175
232	176
232	177
232	178
232	179
232	180
232	181
232	200
232	202
232	203
232	205
232	206
232	209
232	232
232	64
232	67
232	112
232	175
232	176
232	177
232	178
232	179
232	180
232	181
232	200
232	202
232	203
232	205
232	206
232	209
232	232
232	64
232	67
232	112
232	175
232	176
232	177
232	178
232	179
232	180
232	181
232	200
232	202
232	203
232	205
232	206
232	209
232	232
232	64
232	67
232	112
232	175
232	176
232	177
232	178
232	179
232	180
232	181
232	200
232	202
232	203
232	205
232	206
232	209
232	232
232	64
232	67
232	112
232	175
232	176
232	177
232	178
232	179
232	180
232	181
232	200
232	202
232	203
232	205
232	206
232	209
232	232
232	64
232	67
232	112
232	175
232	176
232	177
232	178
232	179
232	180
232	181
232	200
232	202
232	203
232	205
232	206
232	209
232	232
232	64
232	67
232	112
232	175
232	176
232	177
232	178
232	179
232	180
232	181
232	200
232	202
232	203
232	205
232	206
232	209
232	232
232	64
232	67
232	112
232	175
232	176
232	177
232	178
232	179
232	180
232	181
232	200
232	202
232	203
232	205
232	206
232	209
232	232
232	64
232	67
232	112
232	175
232	176
232	177
232	178
232	179
232	180
232	181
232	200
232	202
232	203
232	205
232	206
232	209
232	232
232	64
232	67
232	112
232	175
232	176
232	177
232	178
232	179
232	180
232	181
232	200
232	202
232	203
232	205
232	206
232	209
232	232
232	64
232	67
232	112
232	175
232	176
232	177
232	178
232	179
232	180
232	181
232	200
232	202
232	203
232	205
232	206
232	209
232	232
