#Receptor_resid	Ligand_resid
604	32
604	91
604	92
604	94
604	96
604	532
604	533
604	552
604	555
604	557
604	599
604	600
604	601
604	602
604	603
604	604
604	32
604	91
604	92
604	94
604	96
604	532
604	533
604	552
604	555
604	557
604	599
604	600
604	601
604	602
604	603
604	604
604	32
604	91
604	92
604	94
604	96
604	532
604	533
604	552
604	555
604	557
604	599
604	600
604	601
604	602
604	603
604	604
604	32
604	91
604	92
604	94
604	96
604	532
604	533
604	552
604	555
604	557
604	599
604	600
604	601
604	602
604	603
604	604
604	32
604	91
604	92
604	94
604	96
604	532
604	533
604	552
604	555
604	557
604	599
604	600
604	601
604	602
604	603
604	604
604	32
604	91
604	92
604	94
604	96
604	532
604	533
604	552
604	555
604	557
604	599
604	600
604	601
604	602
604	603
604	604
604	32
604	91
604	92
604	94
604	96
604	532
604	533
604	552
604	555
604	557
604	599
604	600
604	601
604	602
604	603
604	604
604	32
604	91
604	92
604	94
604	96
604	532
604	533
604	552
604	555
604	557
604	599
604	600
604	601
604	602
604	603
604	604
604	32
604	91
604	92
604	94
604	96
604	532
604	533
604	552
604	555
604	557
604	599
604	600
604	601
604	602
604	603
604	604
604	32
604	91
604	92
604	94
604	96
604	532
604	533
604	552
604	555
604	557
604	599
604	600
604	601
604	602
604	603
604	604
604	32
604	91
604	92
604	94
604	96
604	532
604	533
604	552
604	555
604	557
604	599
604	600
604	601
604	602
604	603
604	604
604	32
604	91
604	92
604	94
604	96
604	532
604	533
604	552
604	555
604	557
604	599
604	600
604	601
604	602
604	603
604	604
604	32
604	91
604	92
604	94
604	96
604	532
604	533
604	552
604	555
604	557
604	599
604	600
604	601
604	602
604	603
604	604
604	32
604	91
604	92
604	94
604	96
604	532
604	533
604	552
604	555
604	557
604	599
604	600
604	601
604	602
604	603
604	604
604	32
604	91
604	92
604	94
604	96
604	532
604	533
604	552
604	555
604	557
604	599
604	600
604	601
604	602
604	603
604	604
604	32
604	91
604	92
604	94
604	96
604	532
604	533
604	552
604	555
604	557
604	599
604	600
604	601
604	602
604	603
604	604
