#Receptor_resid	Ligand_resid
215	162
215	163
215	164
215	165
215	179
215	180
215	207
215	208
215	209
215	210
215	211
215	212
215	215
215	162
215	163
215	164
215	165
215	179
215	180
215	207
215	208
215	209
215	210
215	211
215	212
215	215
215	162
215	163
215	164
215	165
215	179
215	180
215	207
215	208
215	209
215	210
215	211
215	212
215	215
215	162
215	163
215	164
215	165
215	179
215	180
215	207
215	208
215	209
215	210
215	211
215	212
215	215
215	162
215	163
215	164
215	165
215	179
215	180
215	207
215	208
215	209
215	210
215	211
215	212
215	215
215	162
215	163
215	164
215	165
215	179
215	180
215	207
215	208
215	209
215	210
215	211
215	212
215	215
215	162
215	163
215	164
215	165
215	179
215	180
215	207
215	208
215	209
215	210
215	211
215	212
215	215
215	162
215	163
215	164
215	165
215	179
215	180
215	207
215	208
215	209
215	210
215	211
215	212
215	215
215	162
215	163
215	164
215	165
215	179
215	180
215	207
215	208
215	209
215	210
215	211
215	212
215	215
215	162
215	163
215	164
215	165
215	179
215	180
215	207
215	208
215	209
215	210
215	211
215	212
215	215
215	162
215	163
215	164
215	165
215	179
215	180
215	207
215	208
215	209
215	210
215	211
215	212
215	215
215	162
215	163
215	164
215	165
215	179
215	180
215	207
215	208
215	209
215	210
215	211
215	212
215	215
215	162
215	163
215	164
215	165
215	179
215	180
215	207
215	208
215	209
215	210
215	211
215	212
215	215
215	162
215	163
215	164
215	165
215	179
215	180
215	207
215	208
215	209
215	210
215	211
215	212
215	215
215	162
215	163
215	164
215	165
215	179
215	180
215	207
215	208
215	209
215	210
215	211
215	212
215	215
215	162
215	163
215	164
215	165
215	179
215	180
215	207
215	208
215	209
215	210
215	211
215	212
215	215
