#Receptor_resid	Ligand_resid
171	70
171	113
171	116
171	117
171	119
171	120
171	121
171	170
171	171
171	70
171	113
171	116
171	117
171	119
171	120
171	121
171	170
171	171
171	70
171	113
171	116
171	117
171	119
171	120
171	121
171	170
171	171
171	70
171	113
171	116
171	117
171	119
171	120
171	121
171	170
171	171
171	70
171	113
171	116
171	117
171	119
171	120
171	121
171	170
171	171
171	70
171	113
171	116
171	117
171	119
171	120
171	121
171	170
171	171
171	70
171	113
171	116
171	117
171	119
171	120
171	121
171	170
171	171
171	70
171	113
171	116
171	117
171	119
171	120
171	121
171	170
171	171
