#Receptor_resid	Ligand_resid
219	39
219	40
219	41
219	42
219	57
219	58
219	97
219	172
219	191
219	192
219	193
219	194
219	195
219	214
219	215
219	216
219	218
219	219
219	39
219	40
219	41
219	42
219	57
219	58
219	97
219	172
219	191
219	192
219	193
219	194
219	195
219	214
219	215
219	216
219	218
219	219
219	39
219	40
219	41
219	42
219	57
219	58
219	97
219	172
219	191
219	192
219	193
219	194
219	195
219	214
219	215
219	216
219	218
219	219
219	39
219	40
219	41
219	42
219	57
219	58
219	97
219	172
219	191
219	192
219	193
219	194
219	195
219	214
219	215
219	216
219	218
219	219
219	39
219	40
219	41
219	42
219	57
219	58
219	97
219	172
219	191
219	192
219	193
219	194
219	195
219	214
219	215
219	216
219	218
219	219
219	39
219	40
219	41
219	42
219	57
219	58
219	97
219	172
219	191
219	192
219	193
219	194
219	195
219	214
219	215
219	216
219	218
219	219
219	39
219	40
219	41
219	42
219	57
219	58
219	97
219	172
219	191
219	192
219	193
219	194
219	195
219	214
219	215
219	216
219	218
219	219
219	39
219	40
219	41
219	42
219	57
219	58
219	97
219	172
219	191
219	192
219	193
219	194
219	195
219	214
219	215
219	216
219	218
219	219
219	39
219	40
219	41
219	42
219	57
219	58
219	97
219	172
219	191
219	192
219	193
219	194
219	195
219	214
219	215
219	216
219	218
219	219
219	39
219	40
219	41
219	42
219	57
219	58
219	97
219	172
219	191
219	192
219	193
219	194
219	195
219	214
219	215
219	216
219	218
219	219
219	39
219	40
219	41
219	42
219	57
219	58
219	97
219	172
219	191
219	192
219	193
219	194
219	195
219	214
219	215
219	216
219	218
219	219
219	39
219	40
219	41
219	42
219	57
219	58
219	97
219	172
219	191
219	192
219	193
219	194
219	195
219	214
219	215
219	216
219	218
219	219
