#Receptor_resid	Ligand_resid
481	402
481	473
481	474
481	477
481	478
481	479
481	481
481	402
481	473
481	474
481	477
481	478
481	479
481	481
481	402
481	473
481	474
481	477
481	478
481	479
481	481
481	402
481	473
481	474
481	477
481	478
481	479
481	481
481	402
481	473
481	474
481	477
481	478
481	479
481	481
481	402
481	473
481	474
481	477
481	478
481	479
481	481
481	402
481	473
481	474
481	477
481	478
481	479
481	481
481	402
481	473
481	474
481	477
481	478
481	479
481	481
481	402
481	473
481	474
481	477
481	478
481	479
481	481
481	402
481	473
481	474
481	477
481	478
481	479
481	481
481	402
481	473
481	474
481	477
481	478
481	479
481	481
