#Receptor_resid	Ligand_resid
258	182
258	183
258	184
258	186
258	204
258	206
258	207
258	209
258	210
258	213
258	214
258	215
258	216
258	258
258	182
258	183
258	184
258	186
258	204
258	206
258	207
258	209
258	210
258	213
258	214
258	215
258	216
258	258
258	182
258	183
258	184
258	186
258	204
258	206
258	207
258	209
258	210
258	213
258	214
258	215
258	216
258	258
258	182
258	183
258	184
258	186
258	204
258	206
258	207
258	209
258	210
258	213
258	214
258	215
258	216
258	258
258	182
258	183
258	184
258	186
258	204
258	206
258	207
258	209
258	210
258	213
258	214
258	215
258	216
258	258
258	182
258	183
258	184
258	186
258	204
258	206
258	207
258	209
258	210
258	213
258	214
258	215
258	216
258	258
258	182
258	183
258	184
258	186
258	204
258	206
258	207
258	209
258	210
258	213
258	214
258	215
258	216
258	258
258	182
258	183
258	184
258	186
258	204
258	206
258	207
258	209
258	210
258	213
258	214
258	215
258	216
258	258
258	182
258	183
258	184
258	186
258	204
258	206
258	207
258	209
258	210
258	213
258	214
258	215
258	216
258	258
258	182
258	183
258	184
258	186
258	204
258	206
258	207
258	209
258	210
258	213
258	214
258	215
258	216
258	258
258	182
258	183
258	184
258	186
258	204
258	206
258	207
258	209
258	210
258	213
258	214
258	215
258	216
258	258
258	182
258	183
258	184
258	186
258	204
258	206
258	207
258	209
258	210
258	213
258	214
258	215
258	216
258	258
258	182
258	183
258	184
258	186
258	204
258	206
258	207
258	209
258	210
258	213
258	214
258	215
258	216
258	258
258	182
258	183
258	184
258	186
258	204
258	206
258	207
258	209
258	210
258	213
258	214
258	215
258	216
258	258
258	182
258	183
258	184
258	186
258	204
258	206
258	207
258	209
258	210
258	213
258	214
258	215
258	216
258	258
