#Receptor_resid	Ligand_resid
249	1
249	2
249	3
249	45
249	70
249	71
249	74
249	75
249	76
249	98
249	123
249	195
249	196
249	247
249	249
249	1
249	2
249	3
249	45
249	70
249	71
249	74
249	75
249	76
249	98
249	123
249	195
249	196
249	247
249	249
249	1
249	2
249	3
249	45
249	70
249	71
249	74
249	75
249	76
249	98
249	123
249	195
249	196
249	247
249	249
249	1
249	2
249	3
249	45
249	70
249	71
249	74
249	75
249	76
249	98
249	123
249	195
249	196
249	247
249	249
249	1
249	2
249	3
249	45
249	70
249	71
249	74
249	75
249	76
249	98
249	123
249	195
249	196
249	247
249	249
249	1
249	2
249	3
249	45
249	70
249	71
249	74
249	75
249	76
249	98
249	123
249	195
249	196
249	247
249	249
249	1
249	2
249	3
249	45
249	70
249	71
249	74
249	75
249	76
249	98
249	123
249	195
249	196
249	247
249	249
249	1
249	2
249	3
249	45
249	70
249	71
249	74
249	75
249	76
249	98
249	123
249	195
249	196
249	247
249	249
249	1
249	2
249	3
249	45
249	70
249	71
249	74
249	75
249	76
249	98
249	123
249	195
249	196
249	247
249	249
249	1
249	2
249	3
249	45
249	70
249	71
249	74
249	75
249	76
249	98
249	123
249	195
249	196
249	247
249	249
249	1
249	2
249	3
249	45
249	70
249	71
249	74
249	75
249	76
249	98
249	123
249	195
249	196
249	247
249	249
249	1
249	2
249	3
249	45
249	70
249	71
249	74
249	75
249	76
249	98
249	123
249	195
249	196
249	247
249	249
249	1
249	2
249	3
249	45
249	70
249	71
249	74
249	75
249	76
249	98
249	123
249	195
249	196
249	247
249	249
249	1
249	2
249	3
249	45
249	70
249	71
249	74
249	75
249	76
249	98
249	123
249	195
249	196
249	247
249	249
