#Receptor_resid	Ligand_resid
132	11
132	32
132	33
132	34
132	61
132	62
132	63
132	64
132	91
132	92
132	96
132	132
132	11
132	32
132	33
132	34
132	61
132	62
132	63
132	64
132	91
132	92
132	96
132	132
132	11
132	32
132	33
132	34
132	61
132	62
132	63
132	64
132	91
132	92
132	96
132	132
132	11
132	32
132	33
132	34
132	61
132	62
132	63
132	64
132	91
132	92
132	96
132	132
132	11
132	32
132	33
132	34
132	61
132	62
132	63
132	64
132	91
132	92
132	96
132	132
132	11
132	32
132	33
132	34
132	61
132	62
132	63
132	64
132	91
132	92
132	96
132	132
132	11
132	32
132	33
132	34
132	61
132	62
132	63
132	64
132	91
132	92
132	96
132	132
132	11
132	32
132	33
132	34
132	61
132	62
132	63
132	64
132	91
132	92
132	96
132	132
132	11
132	32
132	33
132	34
132	61
132	62
132	63
132	64
132	91
132	92
132	96
132	132
132	11
132	32
132	33
132	34
132	61
132	62
132	63
132	64
132	91
132	92
132	96
132	132
132	11
132	32
132	33
132	34
132	61
132	62
132	63
132	64
132	91
132	92
132	96
132	132
132	11
132	32
132	33
132	34
132	61
132	62
132	63
132	64
132	91
132	92
132	96
132	132
132	11
132	32
132	33
132	34
132	61
132	62
132	63
132	64
132	91
132	92
132	96
132	132
132	11
132	32
132	33
132	34
132	61
132	62
132	63
132	64
132	91
132	92
132	96
132	132
132	11
132	32
132	33
132	34
132	61
132	62
132	63
132	64
132	91
132	92
132	96
132	132
132	11
132	32
132	33
132	34
132	61
132	62
132	63
132	64
132	91
132	92
132	96
132	132
132	11
132	32
132	33
132	34
132	61
132	62
132	63
132	64
132	91
132	92
132	96
132	132
