#Receptor_resid	Ligand_resid
623	578
623	582
623	583
623	586
623	607
623	609
623	616
623	617
623	618
623	620
623	621
623	622
623	623
623	578
623	582
623	583
623	586
623	607
623	609
623	616
623	617
623	618
623	620
623	621
623	622
623	623
623	578
623	582
623	583
623	586
623	607
623	609
623	616
623	617
623	618
623	620
623	621
623	622
623	623
623	578
623	582
623	583
623	586
623	607
623	609
623	616
623	617
623	618
623	620
623	621
623	622
623	623
623	578
623	582
623	583
623	586
623	607
623	609
623	616
623	617
623	618
623	620
623	621
623	622
623	623
623	578
623	582
623	583
623	586
623	607
623	609
623	616
623	617
623	618
623	620
623	621
623	622
623	623
623	578
623	582
623	583
623	586
623	607
623	609
623	616
623	617
623	618
623	620
623	621
623	622
623	623
623	578
623	582
623	583
623	586
623	607
623	609
623	616
623	617
623	618
623	620
623	621
623	622
623	623
623	578
623	582
623	583
623	586
623	607
623	609
623	616
623	617
623	618
623	620
623	621
623	622
623	623
623	578
623	582
623	583
623	586
623	607
623	609
623	616
623	617
623	618
623	620
623	621
623	622
623	623
623	578
623	582
623	583
623	586
623	607
623	609
623	616
623	617
623	618
623	620
623	621
623	622
623	623
623	578
623	582
623	583
623	586
623	607
623	609
623	616
623	617
623	618
623	620
623	621
623	622
623	623
623	578
623	582
623	583
623	586
623	607
623	609
623	616
623	617
623	618
623	620
623	621
623	622
623	623
623	578
623	582
623	583
623	586
623	607
623	609
623	616
623	617
623	618
623	620
623	621
623	622
623	623
623	578
623	582
623	583
623	586
623	607
623	609
623	616
623	617
623	618
623	620
623	621
623	622
623	623
623	578
623	582
623	583
623	586
623	607
623	609
623	616
623	617
623	618
623	620
623	621
623	622
623	623
623	578
623	582
623	583
623	586
623	607
623	609
623	616
623	617
623	618
623	620
623	621
623	622
623	623
