#Receptor_resid	Ligand_resid
355	143
355	144
355	146
355	147
355	148
355	167
355	169
355	221
355	311
355	314
355	315
355	326
355	334
355	345
355	346
355	348
355	349
355	350
355	351
355	355
355	143
355	144
355	146
355	147
355	148
355	167
355	169
355	221
355	311
355	314
355	315
355	326
355	334
355	345
355	346
355	348
355	349
355	350
355	351
355	355
355	143
355	144
355	146
355	147
355	148
355	167
355	169
355	221
355	311
355	314
355	315
355	326
355	334
355	345
355	346
355	348
355	349
355	350
355	351
355	355
355	143
355	144
355	146
355	147
355	148
355	167
355	169
355	221
355	311
355	314
355	315
355	326
355	334
355	345
355	346
355	348
355	349
355	350
355	351
355	355
355	143
355	144
355	146
355	147
355	148
355	167
355	169
355	221
355	311
355	314
355	315
355	326
355	334
355	345
355	346
355	348
355	349
355	350
355	351
355	355
355	143
355	144
355	146
355	147
355	148
355	167
355	169
355	221
355	311
355	314
355	315
355	326
355	334
355	345
355	346
355	348
355	349
355	350
355	351
355	355
355	143
355	144
355	146
355	147
355	148
355	167
355	169
355	221
355	311
355	314
355	315
355	326
355	334
355	345
355	346
355	348
355	349
355	350
355	351
355	355
355	143
355	144
355	146
355	147
355	148
355	167
355	169
355	221
355	311
355	314
355	315
355	326
355	334
355	345
355	346
355	348
355	349
355	350
355	351
355	355
355	143
355	144
355	146
355	147
355	148
355	167
355	169
355	221
355	311
355	314
355	315
355	326
355	334
355	345
355	346
355	348
355	349
355	350
355	351
355	355
355	143
355	144
355	146
355	147
355	148
355	167
355	169
355	221
355	311
355	314
355	315
355	326
355	334
355	345
355	346
355	348
355	349
355	350
355	351
355	355
355	143
355	144
355	146
355	147
355	148
355	167
355	169
355	221
355	311
355	314
355	315
355	326
355	334
355	345
355	346
355	348
355	349
355	350
355	351
355	355
355	143
355	144
355	146
355	147
355	148
355	167
355	169
355	221
355	311
355	314
355	315
355	326
355	334
355	345
355	346
355	348
355	349
355	350
355	351
355	355
355	143
355	144
355	146
355	147
355	148
355	167
355	169
355	221
355	311
355	314
355	315
355	326
355	334
355	345
355	346
355	348
355	349
355	350
355	351
355	355
355	143
355	144
355	146
355	147
355	148
355	167
355	169
355	221
355	311
355	314
355	315
355	326
355	334
355	345
355	346
355	348
355	349
355	350
355	351
355	355
355	143
355	144
355	146
355	147
355	148
355	167
355	169
355	221
355	311
355	314
355	315
355	326
355	334
355	345
355	346
355	348
355	349
355	350
355	351
355	355
355	143
355	144
355	146
355	147
355	148
355	167
355	169
355	221
355	311
355	314
355	315
355	326
355	334
355	345
355	346
355	348
355	349
355	350
355	351
355	355
355	143
355	144
355	146
355	147
355	148
355	167
355	169
355	221
355	311
355	314
355	315
355	326
355	334
355	345
355	346
355	348
355	349
355	350
355	351
355	355
