#Receptor_resid	Ligand_resid
163	66
163	67
163	68
163	69
163	106
163	107
163	108
163	109
163	110
163	113
163	114
163	149
163	153
163	156
163	157
163	158
163	159
163	160
163	161
163	163
163	66
163	67
163	68
163	69
163	106
163	107
163	108
163	109
163	110
163	113
163	114
163	149
163	153
163	156
163	157
163	158
163	159
163	160
163	161
163	163
163	66
163	67
163	68
163	69
163	106
163	107
163	108
163	109
163	110
163	113
163	114
163	149
163	153
163	156
163	157
163	158
163	159
163	160
163	161
163	163
163	66
163	67
163	68
163	69
163	106
163	107
163	108
163	109
163	110
163	113
163	114
163	149
163	153
163	156
163	157
163	158
163	159
163	160
163	161
163	163
163	66
163	67
163	68
163	69
163	106
163	107
163	108
163	109
163	110
163	113
163	114
163	149
163	153
163	156
163	157
163	158
163	159
163	160
163	161
163	163
163	66
163	67
163	68
163	69
163	106
163	107
163	108
163	109
163	110
163	113
163	114
163	149
163	153
163	156
163	157
163	158
163	159
163	160
163	161
163	163
163	66
163	67
163	68
163	69
163	106
163	107
163	108
163	109
163	110
163	113
163	114
163	149
163	153
163	156
163	157
163	158
163	159
163	160
163	161
163	163
163	66
163	67
163	68
163	69
163	106
163	107
163	108
163	109
163	110
163	113
163	114
163	149
163	153
163	156
163	157
163	158
163	159
163	160
163	161
163	163
163	66
163	67
163	68
163	69
163	106
163	107
163	108
163	109
163	110
163	113
163	114
163	149
163	153
163	156
163	157
163	158
163	159
163	160
163	161
163	163
163	66
163	67
163	68
163	69
163	106
163	107
163	108
163	109
163	110
163	113
163	114
163	149
163	153
163	156
163	157
163	158
163	159
163	160
163	161
163	163
163	66
163	67
163	68
163	69
163	106
163	107
163	108
163	109
163	110
163	113
163	114
163	149
163	153
163	156
163	157
163	158
163	159
163	160
163	161
163	163
163	66
163	67
163	68
163	69
163	106
163	107
163	108
163	109
163	110
163	113
163	114
163	149
163	153
163	156
163	157
163	158
163	159
163	160
163	161
163	163
163	66
163	67
163	68
163	69
163	106
163	107
163	108
163	109
163	110
163	113
163	114
163	149
163	153
163	156
163	157
163	158
163	159
163	160
163	161
163	163
163	66
163	67
163	68
163	69
163	106
163	107
163	108
163	109
163	110
163	113
163	114
163	149
163	153
163	156
163	157
163	158
163	159
163	160
163	161
163	163
163	66
163	67
163	68
163	69
163	106
163	107
163	108
163	109
163	110
163	113
163	114
163	149
163	153
163	156
163	157
163	158
163	159
163	160
163	161
163	163
163	66
163	67
163	68
163	69
163	106
163	107
163	108
163	109
163	110
163	113
163	114
163	149
163	153
163	156
163	157
163	158
163	159
163	160
163	161
163	163
163	66
163	67
163	68
163	69
163	106
163	107
163	108
163	109
163	110
163	113
163	114
163	149
163	153
163	156
163	157
163	158
163	159
163	160
163	161
163	163
163	66
163	67
163	68
163	69
163	106
163	107
163	108
163	109
163	110
163	113
163	114
163	149
163	153
163	156
163	157
163	158
163	159
163	160
163	161
163	163
163	66
163	67
163	68
163	69
163	106
163	107
163	108
163	109
163	110
163	113
163	114
163	149
163	153
163	156
163	157
163	158
163	159
163	160
163	161
163	163
163	66
163	67
163	68
163	69
163	106
163	107
163	108
163	109
163	110
163	113
163	114
163	149
163	153
163	156
163	157
163	158
163	159
163	160
163	161
163	163
163	66
163	67
163	68
163	69
163	106
163	107
163	108
163	109
163	110
163	113
163	114
163	149
163	153
163	156
163	157
163	158
163	159
163	160
163	161
163	163
163	66
163	67
163	68
163	69
163	106
163	107
163	108
163	109
163	110
163	113
163	114
163	149
163	153
163	156
163	157
163	158
163	159
163	160
163	161
163	163
163	66
163	67
163	68
163	69
163	106
163	107
163	108
163	109
163	110
163	113
163	114
163	149
163	153
163	156
163	157
163	158
163	159
163	160
163	161
163	163
163	66
163	67
163	68
163	69
163	106
163	107
163	108
163	109
163	110
163	113
163	114
163	149
163	153
163	156
163	157
163	158
163	159
163	160
163	161
163	163
