#Receptor_resid	Ligand_resid
614	21
614	23
614	25
614	55
614	531
614	533
614	534
614	594
614	596
614	614
614	21
614	23
614	25
614	55
614	531
614	533
614	534
614	594
614	596
614	614
614	21
614	23
614	25
614	55
614	531
614	533
614	534
614	594
614	596
614	614
614	21
614	23
614	25
614	55
614	531
614	533
614	534
614	594
614	596
614	614
614	21
614	23
614	25
614	55
614	531
614	533
614	534
614	594
614	596
614	614
614	21
614	23
614	25
614	55
614	531
614	533
614	534
614	594
614	596
614	614
614	21
614	23
614	25
614	55
614	531
614	533
614	534
614	594
614	596
614	614
614	21
614	23
614	25
614	55
614	531
614	533
614	534
614	594
614	596
614	614
614	21
614	23
614	25
614	55
614	531
614	533
614	534
614	594
614	596
614	614
614	21
614	23
614	25
614	55
614	531
614	533
614	534
614	594
614	596
614	614
