#Receptor_resid	Ligand_resid
186	102
186	105
186	109
186	113
186	115
186	119
186	140
186	141
186	142
186	146
186	149
186	150
186	151
186	153
186	182
186	183
186	186
186	102
186	105
186	109
186	113
186	115
186	119
186	140
186	141
186	142
186	146
186	149
186	150
186	151
186	153
186	182
186	183
186	186
186	102
186	105
186	109
186	113
186	115
186	119
186	140
186	141
186	142
186	146
186	149
186	150
186	151
186	153
186	182
186	183
186	186
186	102
186	105
186	109
186	113
186	115
186	119
186	140
186	141
186	142
186	146
186	149
186	150
186	151
186	153
186	182
186	183
186	186
186	102
186	105
186	109
186	113
186	115
186	119
186	140
186	141
186	142
186	146
186	149
186	150
186	151
186	153
186	182
186	183
186	186
186	102
186	105
186	109
186	113
186	115
186	119
186	140
186	141
186	142
186	146
186	149
186	150
186	151
186	153
186	182
186	183
186	186
186	102
186	105
186	109
186	113
186	115
186	119
186	140
186	141
186	142
186	146
186	149
186	150
186	151
186	153
186	182
186	183
186	186
186	102
186	105
186	109
186	113
186	115
186	119
186	140
186	141
186	142
186	146
186	149
186	150
186	151
186	153
186	182
186	183
186	186
186	102
186	105
186	109
186	113
186	115
186	119
186	140
186	141
186	142
186	146
186	149
186	150
186	151
186	153
186	182
186	183
186	186
186	102
186	105
186	109
186	113
186	115
186	119
186	140
186	141
186	142
186	146
186	149
186	150
186	151
186	153
186	182
186	183
186	186
186	102
186	105
186	109
186	113
186	115
186	119
186	140
186	141
186	142
186	146
186	149
186	150
186	151
186	153
186	182
186	183
186	186
186	102
186	105
186	109
186	113
186	115
186	119
186	140
186	141
186	142
186	146
186	149
186	150
186	151
186	153
186	182
186	183
186	186
186	102
186	105
186	109
186	113
186	115
186	119
186	140
186	141
186	142
186	146
186	149
186	150
186	151
186	153
186	182
186	183
186	186
186	102
186	105
186	109
186	113
186	115
186	119
186	140
186	141
186	142
186	146
186	149
186	150
186	151
186	153
186	182
186	183
186	186
