#Receptor_resid	Ligand_resid
210	23
210	24
210	25
210	41
210	84
210	136
210	157
210	159
210	176
210	177
210	178
210	179
210	180
210	181
210	182
210	197
210	198
210	199
210	200
210	201
210	203
210	210
210	23
210	24
210	25
210	41
210	84
210	136
210	157
210	159
210	176
210	177
210	178
210	179
210	180
210	181
210	182
210	197
210	198
210	199
210	200
210	201
210	203
210	210
210	23
210	24
210	25
210	41
210	84
210	136
210	157
210	159
210	176
210	177
210	178
210	179
210	180
210	181
210	182
210	197
210	198
210	199
210	200
210	201
210	203
210	210
210	23
210	24
210	25
210	41
210	84
210	136
210	157
210	159
210	176
210	177
210	178
210	179
210	180
210	181
210	182
210	197
210	198
210	199
210	200
210	201
210	203
210	210
210	23
210	24
210	25
210	41
210	84
210	136
210	157
210	159
210	176
210	177
210	178
210	179
210	180
210	181
210	182
210	197
210	198
210	199
210	200
210	201
210	203
210	210
210	23
210	24
210	25
210	41
210	84
210	136
210	157
210	159
210	176
210	177
210	178
210	179
210	180
210	181
210	182
210	197
210	198
210	199
210	200
210	201
210	203
210	210
210	23
210	24
210	25
210	41
210	84
210	136
210	157
210	159
210	176
210	177
210	178
210	179
210	180
210	181
210	182
210	197
210	198
210	199
210	200
210	201
210	203
210	210
210	23
210	24
210	25
210	41
210	84
210	136
210	157
210	159
210	176
210	177
210	178
210	179
210	180
210	181
210	182
210	197
210	198
210	199
210	200
210	201
210	203
210	210
210	23
210	24
210	25
210	41
210	84
210	136
210	157
210	159
210	176
210	177
210	178
210	179
210	180
210	181
210	182
210	197
210	198
210	199
210	200
210	201
210	203
210	210
210	23
210	24
210	25
210	41
210	84
210	136
210	157
210	159
210	176
210	177
210	178
210	179
210	180
210	181
210	182
210	197
210	198
210	199
210	200
210	201
210	203
210	210
210	23
210	24
210	25
210	41
210	84
210	136
210	157
210	159
210	176
210	177
210	178
210	179
210	180
210	181
210	182
210	197
210	198
210	199
210	200
210	201
210	203
210	210
