#Receptor_resid	Ligand_resid
140	19
140	20
140	67
140	71
140	73
140	74
140	76
140	93
140	94
140	95
140	96
140	97
140	98
140	99
140	100
140	102
140	103
140	106
140	107
140	110
140	134
140	137
140	140
140	19
140	20
140	67
140	71
140	73
140	74
140	76
140	93
140	94
140	95
140	96
140	97
140	98
140	99
140	100
140	102
140	103
140	106
140	107
140	110
140	134
140	137
140	140
140	19
140	20
140	67
140	71
140	73
140	74
140	76
140	93
140	94
140	95
140	96
140	97
140	98
140	99
140	100
140	102
140	103
140	106
140	107
140	110
140	134
140	137
140	140
140	19
140	20
140	67
140	71
140	73
140	74
140	76
140	93
140	94
140	95
140	96
140	97
140	98
140	99
140	100
140	102
140	103
140	106
140	107
140	110
140	134
140	137
140	140
140	19
140	20
140	67
140	71
140	73
140	74
140	76
140	93
140	94
140	95
140	96
140	97
140	98
140	99
140	100
140	102
140	103
140	106
140	107
140	110
140	134
140	137
140	140
140	19
140	20
140	67
140	71
140	73
140	74
140	76
140	93
140	94
140	95
140	96
140	97
140	98
140	99
140	100
140	102
140	103
140	106
140	107
140	110
140	134
140	137
140	140
140	19
140	20
140	67
140	71
140	73
140	74
140	76
140	93
140	94
140	95
140	96
140	97
140	98
140	99
140	100
140	102
140	103
140	106
140	107
140	110
140	134
140	137
140	140
140	19
140	20
140	67
140	71
140	73
140	74
140	76
140	93
140	94
140	95
140	96
140	97
140	98
140	99
140	100
140	102
140	103
140	106
140	107
140	110
140	134
140	137
140	140
140	19
140	20
140	67
140	71
140	73
140	74
140	76
140	93
140	94
140	95
140	96
140	97
140	98
140	99
140	100
140	102
140	103
140	106
140	107
140	110
140	134
140	137
140	140
140	19
140	20
140	67
140	71
140	73
140	74
140	76
140	93
140	94
140	95
140	96
140	97
140	98
140	99
140	100
140	102
140	103
140	106
140	107
140	110
140	134
140	137
140	140
140	19
140	20
140	67
140	71
140	73
140	74
140	76
140	93
140	94
140	95
140	96
140	97
140	98
140	99
140	100
140	102
140	103
140	106
140	107
140	110
140	134
140	137
140	140
140	19
140	20
140	67
140	71
140	73
140	74
140	76
140	93
140	94
140	95
140	96
140	97
140	98
140	99
140	100
140	102
140	103
140	106
140	107
140	110
140	134
140	137
140	140
140	19
140	20
140	67
140	71
140	73
140	74
140	76
140	93
140	94
140	95
140	96
140	97
140	98
140	99
140	100
140	102
140	103
140	106
140	107
140	110
140	134
140	137
140	140
140	19
140	20
140	67
140	71
140	73
140	74
140	76
140	93
140	94
140	95
140	96
140	97
140	98
140	99
140	100
140	102
140	103
140	106
140	107
140	110
140	134
140	137
140	140
140	19
140	20
140	67
140	71
140	73
140	74
140	76
140	93
140	94
140	95
140	96
140	97
140	98
140	99
140	100
140	102
140	103
140	106
140	107
140	110
140	134
140	137
140	140
140	19
140	20
140	67
140	71
140	73
140	74
140	76
140	93
140	94
140	95
140	96
140	97
140	98
140	99
140	100
140	102
140	103
140	106
140	107
140	110
140	134
140	137
140	140
140	19
140	20
140	67
140	71
140	73
140	74
140	76
140	93
140	94
140	95
140	96
140	97
140	98
140	99
140	100
140	102
140	103
140	106
140	107
140	110
140	134
140	137
140	140
140	19
140	20
140	67
140	71
140	73
140	74
140	76
140	93
140	94
140	95
140	96
140	97
140	98
140	99
140	100
140	102
140	103
140	106
140	107
140	110
140	134
140	137
140	140
140	19
140	20
140	67
140	71
140	73
140	74
140	76
140	93
140	94
140	95
140	96
140	97
140	98
140	99
140	100
140	102
140	103
140	106
140	107
140	110
140	134
140	137
140	140
140	19
140	20
140	67
140	71
140	73
140	74
140	76
140	93
140	94
140	95
140	96
140	97
140	98
140	99
140	100
140	102
140	103
140	106
140	107
140	110
140	134
140	137
140	140
140	19
140	20
140	67
140	71
140	73
140	74
140	76
140	93
140	94
140	95
140	96
140	97
140	98
140	99
140	100
140	102
140	103
140	106
140	107
140	110
140	134
140	137
140	140
140	19
140	20
140	67
140	71
140	73
140	74
140	76
140	93
140	94
140	95
140	96
140	97
140	98
140	99
140	100
140	102
140	103
140	106
140	107
140	110
140	134
140	137
140	140
140	19
140	20
140	67
140	71
140	73
140	74
140	76
140	93
140	94
140	95
140	96
140	97
140	98
140	99
140	100
140	102
140	103
140	106
140	107
140	110
140	134
140	137
140	140
140	19
140	20
140	67
140	71
140	73
140	74
140	76
140	93
140	94
140	95
140	96
140	97
140	98
140	99
140	100
140	102
140	103
140	106
140	107
140	110
140	134
140	137
140	140
140	19
140	20
140	67
140	71
140	73
140	74
140	76
140	93
140	94
140	95
140	96
140	97
140	98
140	99
140	100
140	102
140	103
140	106
140	107
140	110
140	134
140	137
140	140
140	19
140	20
140	67
140	71
140	73
140	74
140	76
140	93
140	94
140	95
140	96
140	97
140	98
140	99
140	100
140	102
140	103
140	106
140	107
140	110
140	134
140	137
140	140
140	19
140	20
140	67
140	71
140	73
140	74
140	76
140	93
140	94
140	95
140	96
140	97
140	98
140	99
140	100
140	102
140	103
140	106
140	107
140	110
140	134
140	137
140	140
140	19
140	20
140	67
140	71
140	73
140	74
140	76
140	93
140	94
140	95
140	96
140	97
140	98
140	99
140	100
140	102
140	103
140	106
140	107
140	110
140	134
140	137
140	140
