#Receptor_resid	Ligand_resid
557	49
557	52
557	55
557	56
557	59
557	60
557	62
557	63
557	64
557	66
557	67
557	101
557	104
557	108
557	111
557	112
557	553
557	556
557	557
557	49
557	52
557	55
557	56
557	59
557	60
557	62
557	63
557	64
557	66
557	67
557	101
557	104
557	108
557	111
557	112
557	553
557	556
557	557
557	49
557	52
557	55
557	56
557	59
557	60
557	62
557	63
557	64
557	66
557	67
557	101
557	104
557	108
557	111
557	112
557	553
557	556
557	557
557	49
557	52
557	55
557	56
557	59
557	60
557	62
557	63
557	64
557	66
557	67
557	101
557	104
557	108
557	111
557	112
557	553
557	556
557	557
557	49
557	52
557	55
557	56
557	59
557	60
557	62
557	63
557	64
557	66
557	67
557	101
557	104
557	108
557	111
557	112
557	553
557	556
557	557
557	49
557	52
557	55
557	56
557	59
557	60
557	62
557	63
557	64
557	66
557	67
557	101
557	104
557	108
557	111
557	112
557	553
557	556
557	557
557	49
557	52
557	55
557	56
557	59
557	60
557	62
557	63
557	64
557	66
557	67
557	101
557	104
557	108
557	111
557	112
557	553
557	556
557	557
557	49
557	52
557	55
557	56
557	59
557	60
557	62
557	63
557	64
557	66
557	67
557	101
557	104
557	108
557	111
557	112
557	553
557	556
557	557
557	49
557	52
557	55
557	56
557	59
557	60
557	62
557	63
557	64
557	66
557	67
557	101
557	104
557	108
557	111
557	112
557	553
557	556
557	557
557	49
557	52
557	55
557	56
557	59
557	60
557	62
557	63
557	64
557	66
557	67
557	101
557	104
557	108
557	111
557	112
557	553
557	556
557	557
557	49
557	52
557	55
557	56
557	59
557	60
557	62
557	63
557	64
557	66
557	67
557	101
557	104
557	108
557	111
557	112
557	553
557	556
557	557
557	49
557	52
557	55
557	56
557	59
557	60
557	62
557	63
557	64
557	66
557	67
557	101
557	104
557	108
557	111
557	112
557	553
557	556
557	557
557	49
557	52
557	55
557	56
557	59
557	60
557	62
557	63
557	64
557	66
557	67
557	101
557	104
557	108
557	111
557	112
557	553
557	556
557	557
557	49
557	52
557	55
557	56
557	59
557	60
557	62
557	63
557	64
557	66
557	67
557	101
557	104
557	108
557	111
557	112
557	553
557	556
557	557
557	49
557	52
557	55
557	56
557	59
557	60
557	62
557	63
557	64
557	66
557	67
557	101
557	104
557	108
557	111
557	112
557	553
557	556
557	557
557	49
557	52
557	55
557	56
557	59
557	60
557	62
557	63
557	64
557	66
557	67
557	101
557	104
557	108
557	111
557	112
557	553
557	556
557	557
