#Receptor_resid	Ligand_resid
250	129
250	130
250	132
250	141
250	142
250	143
250	144
250	146
250	178
250	217
250	218
250	245
250	246
250	248
250	249
250	250
250	129
250	130
250	132
250	141
250	142
250	143
250	144
250	146
250	178
250	217
250	218
250	245
250	246
250	248
250	249
250	250
250	129
250	130
250	132
250	141
250	142
250	143
250	144
250	146
250	178
250	217
250	218
250	245
250	246
250	248
250	249
250	250
250	129
250	130
250	132
250	141
250	142
250	143
250	144
250	146
250	178
250	217
250	218
250	245
250	246
250	248
250	249
250	250
250	129
250	130
250	132
250	141
250	142
250	143
250	144
250	146
250	178
250	217
250	218
250	245
250	246
250	248
250	249
250	250
250	129
250	130
250	132
250	141
250	142
250	143
250	144
250	146
250	178
250	217
250	218
250	245
250	246
250	248
250	249
250	250
250	129
250	130
250	132
250	141
250	142
250	143
250	144
250	146
250	178
250	217
250	218
250	245
250	246
250	248
250	249
250	250
250	129
250	130
250	132
250	141
250	142
250	143
250	144
250	146
250	178
250	217
250	218
250	245
250	246
250	248
250	249
250	250
250	129
250	130
250	132
250	141
250	142
250	143
250	144
250	146
250	178
250	217
250	218
250	245
250	246
250	248
250	249
250	250
250	129
250	130
250	132
250	141
250	142
250	143
250	144
250	146
250	178
250	217
250	218
250	245
250	246
250	248
250	249
250	250
250	129
250	130
250	132
250	141
250	142
250	143
250	144
250	146
250	178
250	217
250	218
250	245
250	246
250	248
250	249
250	250
250	129
250	130
250	132
250	141
250	142
250	143
250	144
250	146
250	178
250	217
250	218
250	245
250	246
250	248
250	249
250	250
250	129
250	130
250	132
250	141
250	142
250	143
250	144
250	146
250	178
250	217
250	218
250	245
250	246
250	248
250	249
250	250
250	129
250	130
250	132
250	141
250	142
250	143
250	144
250	146
250	178
250	217
250	218
250	245
250	246
250	248
250	249
250	250
250	129
250	130
250	132
250	141
250	142
250	143
250	144
250	146
250	178
250	217
250	218
250	245
250	246
250	248
250	249
250	250
250	129
250	130
250	132
250	141
250	142
250	143
250	144
250	146
250	178
250	217
250	218
250	245
250	246
250	248
250	249
250	250
250	129
250	130
250	132
250	141
250	142
250	143
250	144
250	146
250	178
250	217
250	218
250	245
250	246
250	248
250	249
250	250
