#Receptor_resid	Ligand_resid
568	11
568	14
568	39
568	42
568	45
568	46
568	49
568	117
568	165
568	169
568	172
568	173
568	176
568	208
568	212
568	213
568	215
568	216
568	217
568	220
568	223
568	224
568	568
568	11
568	14
568	39
568	42
568	45
568	46
568	49
568	117
568	165
568	169
568	172
568	173
568	176
568	208
568	212
568	213
568	215
568	216
568	217
568	220
568	223
568	224
568	568
568	11
568	14
568	39
568	42
568	45
568	46
568	49
568	117
568	165
568	169
568	172
568	173
568	176
568	208
568	212
568	213
568	215
568	216
568	217
568	220
568	223
568	224
568	568
568	11
568	14
568	39
568	42
568	45
568	46
568	49
568	117
568	165
568	169
568	172
568	173
568	176
568	208
568	212
568	213
568	215
568	216
568	217
568	220
568	223
568	224
568	568
568	11
568	14
568	39
568	42
568	45
568	46
568	49
568	117
568	165
568	169
568	172
568	173
568	176
568	208
568	212
568	213
568	215
568	216
568	217
568	220
568	223
568	224
568	568
568	11
568	14
568	39
568	42
568	45
568	46
568	49
568	117
568	165
568	169
568	172
568	173
568	176
568	208
568	212
568	213
568	215
568	216
568	217
568	220
568	223
568	224
568	568
568	11
568	14
568	39
568	42
568	45
568	46
568	49
568	117
568	165
568	169
568	172
568	173
568	176
568	208
568	212
568	213
568	215
568	216
568	217
568	220
568	223
568	224
568	568
568	11
568	14
568	39
568	42
568	45
568	46
568	49
568	117
568	165
568	169
568	172
568	173
568	176
568	208
568	212
568	213
568	215
568	216
568	217
568	220
568	223
568	224
568	568
568	11
568	14
568	39
568	42
568	45
568	46
568	49
568	117
568	165
568	169
568	172
568	173
568	176
568	208
568	212
568	213
568	215
568	216
568	217
568	220
568	223
568	224
568	568
568	11
568	14
568	39
568	42
568	45
568	46
568	49
568	117
568	165
568	169
568	172
568	173
568	176
568	208
568	212
568	213
568	215
568	216
568	217
568	220
568	223
568	224
568	568
568	11
568	14
568	39
568	42
568	45
568	46
568	49
568	117
568	165
568	169
568	172
568	173
568	176
568	208
568	212
568	213
568	215
568	216
568	217
568	220
568	223
568	224
568	568
568	11
568	14
568	39
568	42
568	45
568	46
568	49
568	117
568	165
568	169
568	172
568	173
568	176
568	208
568	212
568	213
568	215
568	216
568	217
568	220
568	223
568	224
568	568
568	11
568	14
568	39
568	42
568	45
568	46
568	49
568	117
568	165
568	169
568	172
568	173
568	176
568	208
568	212
568	213
568	215
568	216
568	217
568	220
568	223
568	224
568	568
568	11
568	14
568	39
568	42
568	45
568	46
568	49
568	117
568	165
568	169
568	172
568	173
568	176
568	208
568	212
568	213
568	215
568	216
568	217
568	220
568	223
568	224
568	568
568	11
568	14
568	39
568	42
568	45
568	46
568	49
568	117
568	165
568	169
568	172
568	173
568	176
568	208
568	212
568	213
568	215
568	216
568	217
568	220
568	223
568	224
568	568
568	11
568	14
568	39
568	42
568	45
568	46
568	49
568	117
568	165
568	169
568	172
568	173
568	176
568	208
568	212
568	213
568	215
568	216
568	217
568	220
568	223
568	224
568	568
568	11
568	14
568	39
568	42
568	45
568	46
568	49
568	117
568	165
568	169
568	172
568	173
568	176
568	208
568	212
568	213
568	215
568	216
568	217
568	220
568	223
568	224
568	568
568	11
568	14
568	39
568	42
568	45
568	46
568	49
568	117
568	165
568	169
568	172
568	173
568	176
568	208
568	212
568	213
568	215
568	216
568	217
568	220
568	223
568	224
568	568
568	11
568	14
568	39
568	42
568	45
568	46
568	49
568	117
568	165
568	169
568	172
568	173
568	176
568	208
568	212
568	213
568	215
568	216
568	217
568	220
568	223
568	224
568	568
568	11
568	14
568	39
568	42
568	45
568	46
568	49
568	117
568	165
568	169
568	172
568	173
568	176
568	208
568	212
568	213
568	215
568	216
568	217
568	220
568	223
568	224
568	568
568	11
568	14
568	39
568	42
568	45
568	46
568	49
568	117
568	165
568	169
568	172
568	173
568	176
568	208
568	212
568	213
568	215
568	216
568	217
568	220
568	223
568	224
568	568
