#Receptor_resid	Ligand_resid
173	45
173	47
173	64
173	70
173	74
173	75
173	77
173	78
173	81
173	82
173	103
173	106
173	107
173	110
173	111
173	113
173	139
173	140
173	141
173	142
173	143
173	144
173	145
173	147
173	159
173	166
173	172
173	173
173	45
173	47
173	64
173	70
173	74
173	75
173	77
173	78
173	81
173	82
173	103
173	106
173	107
173	110
173	111
173	113
173	139
173	140
173	141
173	142
173	143
173	144
173	145
173	147
173	159
173	166
173	172
173	173
173	45
173	47
173	64
173	70
173	74
173	75
173	77
173	78
173	81
173	82
173	103
173	106
173	107
173	110
173	111
173	113
173	139
173	140
173	141
173	142
173	143
173	144
173	145
173	147
173	159
173	166
173	172
173	173
173	45
173	47
173	64
173	70
173	74
173	75
173	77
173	78
173	81
173	82
173	103
173	106
173	107
173	110
173	111
173	113
173	139
173	140
173	141
173	142
173	143
173	144
173	145
173	147
173	159
173	166
173	172
173	173
173	45
173	47
173	64
173	70
173	74
173	75
173	77
173	78
173	81
173	82
173	103
173	106
173	107
173	110
173	111
173	113
173	139
173	140
173	141
173	142
173	143
173	144
173	145
173	147
173	159
173	166
173	172
173	173
173	45
173	47
173	64
173	70
173	74
173	75
173	77
173	78
173	81
173	82
173	103
173	106
173	107
173	110
173	111
173	113
173	139
173	140
173	141
173	142
173	143
173	144
173	145
173	147
173	159
173	166
173	172
173	173
173	45
173	47
173	64
173	70
173	74
173	75
173	77
173	78
173	81
173	82
173	103
173	106
173	107
173	110
173	111
173	113
173	139
173	140
173	141
173	142
173	143
173	144
173	145
173	147
173	159
173	166
173	172
173	173
173	45
173	47
173	64
173	70
173	74
173	75
173	77
173	78
173	81
173	82
173	103
173	106
173	107
173	110
173	111
173	113
173	139
173	140
173	141
173	142
173	143
173	144
173	145
173	147
173	159
173	166
173	172
173	173
173	45
173	47
173	64
173	70
173	74
173	75
173	77
173	78
173	81
173	82
173	103
173	106
173	107
173	110
173	111
173	113
173	139
173	140
173	141
173	142
173	143
173	144
173	145
173	147
173	159
173	166
173	172
173	173
173	45
173	47
173	64
173	70
173	74
173	75
173	77
173	78
173	81
173	82
173	103
173	106
173	107
173	110
173	111
173	113
173	139
173	140
173	141
173	142
173	143
173	144
173	145
173	147
173	159
173	166
173	172
173	173
173	45
173	47
173	64
173	70
173	74
173	75
173	77
173	78
173	81
173	82
173	103
173	106
173	107
173	110
173	111
173	113
173	139
173	140
173	141
173	142
173	143
173	144
173	145
173	147
173	159
173	166
173	172
173	173
173	45
173	47
173	64
173	70
173	74
173	75
173	77
173	78
173	81
173	82
173	103
173	106
173	107
173	110
173	111
173	113
173	139
173	140
173	141
173	142
173	143
173	144
173	145
173	147
173	159
173	166
173	172
173	173
173	45
173	47
173	64
173	70
173	74
173	75
173	77
173	78
173	81
173	82
173	103
173	106
173	107
173	110
173	111
173	113
173	139
173	140
173	141
173	142
173	143
173	144
173	145
173	147
173	159
173	166
173	172
173	173
173	45
173	47
173	64
173	70
173	74
173	75
173	77
173	78
173	81
173	82
173	103
173	106
173	107
173	110
173	111
173	113
173	139
173	140
173	141
173	142
173	143
173	144
173	145
173	147
173	159
173	166
173	172
173	173
173	45
173	47
173	64
173	70
173	74
173	75
173	77
173	78
173	81
173	82
173	103
173	106
173	107
173	110
173	111
173	113
173	139
173	140
173	141
173	142
173	143
173	144
173	145
173	147
173	159
173	166
173	172
173	173
173	45
173	47
173	64
173	70
173	74
173	75
173	77
173	78
173	81
173	82
173	103
173	106
173	107
173	110
173	111
173	113
173	139
173	140
173	141
173	142
173	143
173	144
173	145
173	147
173	159
173	166
173	172
173	173
173	45
173	47
173	64
173	70
173	74
173	75
173	77
173	78
173	81
173	82
173	103
173	106
173	107
173	110
173	111
173	113
173	139
173	140
173	141
173	142
173	143
173	144
173	145
173	147
173	159
173	166
173	172
173	173
173	45
173	47
173	64
173	70
173	74
173	75
173	77
173	78
173	81
173	82
173	103
173	106
173	107
173	110
173	111
173	113
173	139
173	140
173	141
173	142
173	143
173	144
173	145
173	147
173	159
173	166
173	172
173	173
173	45
173	47
173	64
173	70
173	74
173	75
173	77
173	78
173	81
173	82
173	103
173	106
173	107
173	110
173	111
173	113
173	139
173	140
173	141
173	142
173	143
173	144
173	145
173	147
173	159
173	166
173	172
173	173
173	45
173	47
173	64
173	70
173	74
173	75
173	77
173	78
173	81
173	82
173	103
173	106
173	107
173	110
173	111
173	113
173	139
173	140
173	141
173	142
173	143
173	144
173	145
173	147
173	159
173	166
173	172
173	173
173	45
173	47
173	64
173	70
173	74
173	75
173	77
173	78
173	81
173	82
173	103
173	106
173	107
173	110
173	111
173	113
173	139
173	140
173	141
173	142
173	143
173	144
173	145
173	147
173	159
173	166
173	172
173	173
173	45
173	47
173	64
173	70
173	74
173	75
173	77
173	78
173	81
173	82
173	103
173	106
173	107
173	110
173	111
173	113
173	139
173	140
173	141
173	142
173	143
173	144
173	145
173	147
173	159
173	166
173	172
173	173
173	45
173	47
173	64
173	70
173	74
173	75
173	77
173	78
173	81
173	82
173	103
173	106
173	107
173	110
173	111
173	113
173	139
173	140
173	141
173	142
173	143
173	144
173	145
173	147
173	159
173	166
173	172
173	173
173	45
173	47
173	64
173	70
173	74
173	75
173	77
173	78
173	81
173	82
173	103
173	106
173	107
173	110
173	111
173	113
173	139
173	140
173	141
173	142
173	143
173	144
173	145
173	147
173	159
173	166
173	172
173	173
173	45
173	47
173	64
173	70
173	74
173	75
173	77
173	78
173	81
173	82
173	103
173	106
173	107
173	110
173	111
173	113
173	139
173	140
173	141
173	142
173	143
173	144
173	145
173	147
173	159
173	166
173	172
173	173
173	45
173	47
173	64
173	70
173	74
173	75
173	77
173	78
173	81
173	82
173	103
173	106
173	107
173	110
173	111
173	113
173	139
173	140
173	141
173	142
173	143
173	144
173	145
173	147
173	159
173	166
173	172
173	173
173	45
173	47
173	64
173	70
173	74
173	75
