#Receptor_resid	Ligand_resid
814	49
814	107
814	110
814	114
814	722
814	786
814	792
814	795
814	796
814	814
814	49
814	107
814	110
814	114
814	722
814	786
814	792
814	795
814	796
814	814
814	49
814	107
814	110
814	114
814	722
814	786
814	792
814	795
814	796
814	814
814	49
814	107
814	110
814	114
814	722
814	786
814	792
814	795
814	796
814	814
814	49
814	107
814	110
814	114
814	722
814	786
814	792
814	795
814	796
814	814
814	49
814	107
814	110
814	114
814	722
814	786
814	792
814	795
814	796
814	814
