#Receptor_resid	Ligand_resid
310	29
310	31
310	32
310	49
310	53
310	56
310	91
310	92
310	93
310	96
310	209
310	210
310	235
310	238
310	239
310	240
310	241
310	243
310	258
310	259
310	260
310	262
310	265
310	267
310	306
310	308
310	309
310	310
310	29
310	31
310	32
310	49
310	53
310	56
310	91
310	92
310	93
310	96
310	209
310	210
310	235
310	238
310	239
310	240
310	241
310	243
310	258
310	259
310	260
310	262
310	265
310	267
310	306
310	308
310	309
310	310
310	29
310	31
310	32
310	49
310	53
310	56
310	91
310	92
310	93
310	96
310	209
310	210
310	235
310	238
310	239
310	240
310	241
310	243
310	258
310	259
310	260
310	262
310	265
310	267
310	306
310	308
310	309
310	310
310	29
310	31
310	32
310	49
310	53
310	56
310	91
310	92
310	93
310	96
310	209
310	210
310	235
310	238
310	239
310	240
310	241
310	243
310	258
310	259
310	260
310	262
310	265
310	267
310	306
310	308
310	309
310	310
310	29
310	31
310	32
310	49
310	53
310	56
310	91
310	92
310	93
310	96
310	209
310	210
310	235
310	238
310	239
310	240
310	241
310	243
310	258
310	259
310	260
310	262
310	265
310	267
310	306
310	308
310	309
310	310
310	29
310	31
310	32
310	49
310	53
310	56
310	91
310	92
310	93
310	96
310	209
310	210
310	235
310	238
310	239
310	240
310	241
310	243
310	258
310	259
310	260
310	262
310	265
310	267
310	306
310	308
310	309
310	310
310	29
310	31
310	32
310	49
310	53
310	56
310	91
310	92
310	93
310	96
310	209
310	210
310	235
310	238
310	239
310	240
310	241
310	243
310	258
310	259
310	260
310	262
310	265
310	267
310	306
310	308
310	309
310	310
310	29
310	31
310	32
310	49
310	53
310	56
310	91
310	92
310	93
310	96
310	209
310	210
310	235
310	238
310	239
310	240
310	241
310	243
310	258
310	259
310	260
310	262
310	265
310	267
310	306
310	308
310	309
310	310
310	29
310	31
310	32
310	49
310	53
310	56
310	91
310	92
310	93
310	96
310	209
310	210
310	235
310	238
310	239
310	240
310	241
310	243
310	258
310	259
310	260
310	262
310	265
310	267
310	306
310	308
310	309
310	310
310	29
310	31
310	32
310	49
310	53
310	56
310	91
310	92
310	93
310	96
310	209
310	210
310	235
310	238
310	239
310	240
310	241
310	243
310	258
310	259
310	260
310	262
310	265
310	267
310	306
310	308
310	309
310	310
310	29
310	31
310	32
310	49
310	53
310	56
310	91
310	92
310	93
310	96
310	209
310	210
310	235
310	238
310	239
310	240
310	241
310	243
310	258
310	259
310	260
310	262
310	265
310	267
310	306
310	308
310	309
310	310
310	29
310	31
310	32
310	49
310	53
310	56
310	91
310	92
310	93
310	96
310	209
310	210
310	235
310	238
310	239
310	240
310	241
310	243
310	258
310	259
310	260
310	262
310	265
310	267
310	306
310	308
310	309
310	310
310	29
310	31
310	32
310	49
310	53
310	56
310	91
310	92
310	93
310	96
310	209
310	210
310	235
310	238
310	239
310	240
310	241
310	243
310	258
310	259
310	260
310	262
310	265
310	267
310	306
310	308
310	309
310	310
310	29
310	31
310	32
310	49
310	53
310	56
310	91
310	92
310	93
310	96
310	209
310	210
310	235
310	238
310	239
310	240
310	241
310	243
310	258
310	259
310	260
310	262
310	265
310	267
310	306
310	308
310	309
310	310
310	29
310	31
310	32
310	49
310	53
310	56
310	91
310	92
310	93
310	96
310	209
310	210
310	235
310	238
310	239
310	240
310	241
310	243
310	258
310	259
310	260
310	262
310	265
310	267
310	306
310	308
310	309
310	310
310	29
310	31
310	32
310	49
310	53
310	56
310	91
310	92
310	93
310	96
310	209
310	210
310	235
310	238
310	239
310	240
310	241
310	243
310	258
310	259
310	260
310	262
310	265
310	267
310	306
310	308
310	309
310	310
