#Receptor_resid	Ligand_resid
163	9
163	11
163	12
163	13
163	14
163	15
163	16
163	30
163	31
163	109
163	110
163	111
163	113
163	114
163	115
163	116
163	122
163	124
163	127
163	129
163	163
163	9
163	11
163	12
163	13
163	14
163	15
163	16
163	30
163	31
163	109
163	110
163	111
163	113
163	114
163	115
163	116
163	122
163	124
163	127
163	129
163	163
163	9
163	11
163	12
163	13
163	14
163	15
163	16
163	30
163	31
163	109
163	110
163	111
163	113
163	114
163	115
163	116
163	122
163	124
163	127
163	129
163	163
163	9
163	11
163	12
163	13
163	14
163	15
163	16
163	30
163	31
163	109
163	110
163	111
163	113
163	114
163	115
163	116
163	122
163	124
163	127
163	129
163	163
163	9
163	11
163	12
163	13
163	14
163	15
163	16
163	30
163	31
163	109
163	110
163	111
163	113
163	114
163	115
163	116
163	122
163	124
163	127
163	129
163	163
163	9
163	11
163	12
163	13
163	14
163	15
163	16
163	30
163	31
163	109
163	110
163	111
163	113
163	114
163	115
163	116
163	122
163	124
163	127
163	129
163	163
163	9
163	11
163	12
163	13
163	14
163	15
163	16
163	30
163	31
163	109
163	110
163	111
163	113
163	114
163	115
163	116
163	122
163	124
163	127
163	129
163	163
163	9
163	11
163	12
163	13
163	14
163	15
163	16
163	30
163	31
163	109
163	110
163	111
163	113
163	114
163	115
163	116
163	122
163	124
163	127
163	129
163	163
163	9
163	11
163	12
163	13
163	14
163	15
163	16
163	30
163	31
163	109
163	110
163	111
163	113
163	114
163	115
163	116
163	122
163	124
163	127
163	129
163	163
163	9
163	11
163	12
163	13
163	14
163	15
163	16
163	30
163	31
163	109
163	110
163	111
163	113
163	114
163	115
163	116
163	122
163	124
163	127
163	129
163	163
163	9
163	11
163	12
163	13
163	14
163	15
163	16
163	30
163	31
163	109
163	110
163	111
163	113
163	114
163	115
163	116
163	122
163	124
163	127
163	129
163	163
163	9
163	11
163	12
163	13
163	14
163	15
163	16
163	30
163	31
163	109
163	110
163	111
163	113
163	114
163	115
163	116
163	122
163	124
163	127
163	129
163	163
163	9
163	11
163	12
163	13
163	14
163	15
163	16
163	30
163	31
163	109
163	110
163	111
163	113
163	114
163	115
163	116
163	122
163	124
163	127
163	129
163	163
163	9
163	11
163	12
163	13
163	14
163	15
163	16
163	30
163	31
163	109
163	110
163	111
163	113
163	114
163	115
163	116
163	122
163	124
163	127
163	129
163	163
163	9
163	11
163	12
163	13
163	14
163	15
163	16
163	30
163	31
163	109
163	110
163	111
163	113
163	114
163	115
163	116
163	122
163	124
163	127
163	129
163	163
163	9
163	11
163	12
163	13
163	14
163	15
163	16
163	30
163	31
163	109
163	110
163	111
163	113
163	114
163	115
163	116
163	122
163	124
163	127
163	129
163	163
163	9
163	11
163	12
163	13
163	14
163	15
163	16
163	30
163	31
163	109
163	110
163	111
163	113
163	114
163	115
163	116
163	122
163	124
163	127
163	129
163	163
163	9
163	11
163	12
163	13
163	14
163	15
163	16
163	30
163	31
163	109
163	110
163	111
163	113
163	114
163	115
163	116
163	122
163	124
163	127
163	129
163	163
163	9
163	11
163	12
163	13
163	14
163	15
163	16
163	30
163	31
163	109
163	110
163	111
163	113
163	114
163	115
163	116
163	122
163	124
163	127
163	129
163	163
163	9
163	11
163	12
163	13
163	14
163	15
163	16
163	30
163	31
163	109
163	110
163	111
163	113
163	114
163	115
163	116
163	122
163	124
163	127
163	129
163	163
163	9
163	11
163	12
163	13
163	14
163	15
163	16
163	30
163	31
163	109
163	110
163	111
163	113
163	114
163	115
163	116
163	122
163	124
163	127
163	129
163	163
163	9
163	11
163	12
163	13
163	14
163	15
163	16
163	30
163	31
163	109
163	110
163	111
163	113
163	114
163	115
163	116
163	122
163	124
163	127
163	129
163	163
