#Receptor_resid	Ligand_resid
83	49
83	50
83	51
83	66
83	73
83	77
83	80
83	81
83	83
83	49
83	50
83	51
83	66
83	73
83	77
83	80
83	81
83	83
83	49
83	50
83	51
83	66
83	73
83	77
83	80
83	81
83	83
83	49
83	50
83	51
83	66
83	73
83	77
83	80
83	81
83	83
83	49
83	50
83	51
83	66
83	73
83	77
83	80
83	81
83	83
83	49
83	50
83	51
83	66
83	73
83	77
83	80
83	81
83	83
83	49
83	50
83	51
83	66
83	73
83	77
83	80
83	81
83	83
83	49
83	50
83	51
83	66
83	73
83	77
83	80
83	81
83	83
83	49
83	50
83	51
83	66
83	73
83	77
83	80
83	81
83	83
83	49
83	50
83	51
83	66
83	73
83	77
83	80
83	81
83	83
