#Receptor_resid	Ligand_resid
315	169
315	196
315	198
315	209
315	217
315	218
315	220
315	225
315	227
315	228
315	230
315	278
315	315
315	169
315	196
315	198
315	209
315	217
315	218
315	220
315	225
315	227
315	228
315	230
315	278
315	315
315	169
315	196
315	198
315	209
315	217
315	218
315	220
315	225
315	227
315	228
315	230
315	278
315	315
315	169
315	196
315	198
315	209
315	217
315	218
315	220
315	225
315	227
315	228
315	230
315	278
315	315
315	169
315	196
315	198
315	209
315	217
315	218
315	220
315	225
315	227
315	228
315	230
315	278
315	315
315	169
315	196
315	198
315	209
315	217
315	218
315	220
315	225
315	227
315	228
315	230
315	278
315	315
315	169
315	196
315	198
315	209
315	217
315	218
315	220
315	225
315	227
315	228
315	230
315	278
315	315
315	169
315	196
315	198
315	209
315	217
315	218
315	220
315	225
315	227
315	228
315	230
315	278
315	315
315	169
315	196
315	198
315	209
315	217
315	218
315	220
315	225
315	227
315	228
315	230
315	278
315	315
315	169
315	196
315	198
315	209
315	217
315	218
315	220
315	225
315	227
315	228
315	230
315	278
315	315
315	169
315	196
315	198
315	209
315	217
315	218
315	220
315	225
315	227
315	228
315	230
315	278
315	315
315	169
315	196
315	198
315	209
315	217
315	218
315	220
315	225
315	227
315	228
315	230
315	278
315	315
315	169
315	196
315	198
315	209
315	217
315	218
315	220
315	225
315	227
315	228
315	230
315	278
315	315
315	169
315	196
315	198
315	209
315	217
315	218
315	220
315	225
315	227
315	228
315	230
315	278
315	315
