#Receptor_resid	Ligand_resid
219	71
219	81
219	83
219	105
219	136
219	137
219	138
219	140
219	186
219	187
219	214
219	216
219	217
219	218
219	219
219	71
219	81
219	83
219	105
219	136
219	137
219	138
219	140
219	186
219	187
219	214
219	216
219	217
219	218
219	219
219	71
219	81
219	83
219	105
219	136
219	137
219	138
219	140
219	186
219	187
219	214
219	216
219	217
219	218
219	219
219	71
219	81
219	83
219	105
219	136
219	137
219	138
219	140
219	186
219	187
219	214
219	216
219	217
219	218
219	219
219	71
219	81
219	83
219	105
219	136
219	137
219	138
219	140
219	186
219	187
219	214
219	216
219	217
219	218
219	219
219	71
219	81
219	83
219	105
219	136
219	137
219	138
219	140
219	186
219	187
219	214
219	216
219	217
219	218
219	219
219	71
219	81
219	83
219	105
219	136
219	137
219	138
219	140
219	186
219	187
219	214
219	216
219	217
219	218
219	219
219	71
219	81
219	83
219	105
219	136
219	137
219	138
219	140
219	186
219	187
219	214
219	216
219	217
219	218
219	219
219	71
219	81
219	83
219	105
219	136
219	137
219	138
219	140
219	186
219	187
219	214
219	216
219	217
219	218
219	219
219	71
219	81
219	83
219	105
219	136
219	137
219	138
219	140
219	186
219	187
219	214
219	216
219	217
219	218
219	219
219	71
219	81
219	83
219	105
219	136
219	137
219	138
219	140
219	186
219	187
219	214
219	216
219	217
219	218
219	219
219	71
219	81
219	83
219	105
219	136
219	137
219	138
219	140
219	186
219	187
219	214
219	216
219	217
219	218
219	219
219	71
219	81
219	83
219	105
219	136
219	137
219	138
219	140
219	186
219	187
219	214
219	216
219	217
219	218
219	219
219	71
219	81
219	83
219	105
219	136
219	137
219	138
219	140
219	186
219	187
219	214
219	216
219	217
219	218
219	219
219	71
219	81
219	83
219	105
219	136
219	137
219	138
219	140
219	186
219	187
219	214
219	216
219	217
219	218
219	219
219	71
219	81
219	83
219	105
219	136
219	137
219	138
219	140
219	186
219	187
219	214
219	216
219	217
219	218
219	219
