#Receptor_resid	Ligand_resid
454	342
454	343
454	369
454	439
454	440
454	441
454	442
454	443
454	444
454	445
454	446
454	447
454	449
454	454
454	342
454	343
454	369
454	439
454	440
454	441
454	442
454	443
454	444
454	445
454	446
454	447
454	449
454	454
454	342
454	343
454	369
454	439
454	440
454	441
454	442
454	443
454	444
454	445
454	446
454	447
454	449
454	454
454	342
454	343
454	369
454	439
454	440
454	441
454	442
454	443
454	444
454	445
454	446
454	447
454	449
454	454
454	342
454	343
454	369
454	439
454	440
454	441
454	442
454	443
454	444
454	445
454	446
454	447
454	449
454	454
454	342
454	343
454	369
454	439
454	440
454	441
454	442
454	443
454	444
454	445
454	446
454	447
454	449
454	454
454	342
454	343
454	369
454	439
454	440
454	441
454	442
454	443
454	444
454	445
454	446
454	447
454	449
454	454
454	342
454	343
454	369
454	439
454	440
454	441
454	442
454	443
454	444
454	445
454	446
454	447
454	449
454	454
454	342
454	343
454	369
454	439
454	440
454	441
454	442
454	443
454	444
454	445
454	446
454	447
454	449
454	454
454	342
454	343
454	369
454	439
454	440
454	441
454	442
454	443
454	444
454	445
454	446
454	447
454	449
454	454
454	342
454	343
454	369
454	439
454	440
454	441
454	442
454	443
454	444
454	445
454	446
454	447
454	449
454	454
454	342
454	343
454	369
454	439
454	440
454	441
454	442
454	443
454	444
454	445
454	446
454	447
454	449
454	454
454	342
454	343
454	369
454	439
454	440
454	441
454	442
454	443
454	444
454	445
454	446
454	447
454	449
454	454
454	342
454	343
454	369
454	439
454	440
454	441
454	442
454	443
454	444
454	445
454	446
454	447
454	449
454	454
454	342
454	343
454	369
454	439
454	440
454	441
454	442
454	443
454	444
454	445
454	446
454	447
454	449
454	454
454	342
454	343
454	369
454	439
454	440
454	441
454	442
454	443
454	444
454	445
454	446
454	447
454	449
454	454
454	342
454	343
454	369
454	439
454	440
454	441
454	442
454	443
454	444
454	445
454	446
454	447
454	449
454	454
454	342
454	343
454	369
454	439
454	440
454	441
454	442
454	443
454	444
454	445
454	446
454	447
454	449
454	454
454	342
454	343
454	369
454	439
454	440
454	441
454	442
454	443
454	444
454	445
454	446
454	447
454	449
454	454
454	342
454	343
454	369
454	439
454	440
454	441
454	442
454	443
454	444
454	445
454	446
454	447
454	449
454	454
454	342
454	343
454	369
454	439
454	440
454	441
454	442
454	443
454	444
454	445
454	446
454	447
454	449
454	454
454	342
454	343
454	369
454	439
454	440
454	441
454	442
454	443
454	444
454	445
454	446
454	447
454	449
454	454
454	342
454	343
454	369
454	439
454	440
454	441
454	442
454	443
454	444
454	445
454	446
454	447
454	449
454	454
454	342
454	343
454	369
454	439
454	440
454	441
454	442
454	443
454	444
454	445
454	446
454	447
454	449
454	454
